Date,Clicks
"2026-01-16","11,014"
"2026-01-17","9,523"
"2026-01-18","11,657"
"2026-01-19","8,542"
"2026-01-20","6,960"
"2026-01-21","5,745"
"2026-01-22","5,735"
"2026-01-23","5,151"
"2026-01-24","11,228"
"2026-01-25","15,806"
"2026-01-26","6,206"
"2026-01-27","13,262"
"2026-01-28","13,808"
"2026-01-29","14,706"
"2026-01-30","16,787"
"2026-01-31","24,172"
"2026-02-01","21,919"
"2026-02-02","8,559"
"2026-02-03","8,841"
"2026-02-04","8,536"
"2026-02-05","8,161"
"2026-02-06","10,148"
"2026-02-07","11,349"
"2026-02-08","54,418"
"2026-02-09","11,376"
"2026-02-10","8,975"
"2026-02-11","17,884"
"2026-02-12","10,355"
"2026-02-13","8,017"
"2026-02-14","7,853"
"2026-02-15","6,440"
"2026-02-16","5,975"
"2026-02-17","4,347"
"2026-02-18","5,518"
"2026-02-19","5,545"
"2026-02-20","4,235"
"2026-02-21","5,705"
"2026-02-22","4,284"
"2026-02-23","3,948"
"2026-02-24","2,944"
"2026-02-25","3,283"
"2026-02-26","3,221"
"2026-02-27","4,225"
"2026-02-28","5,337"
"2026-03-01","10,528"
"2026-03-02","5,781"
"2026-03-03","3,126"
"2026-03-04","3,893"
"2026-03-05","2,914"
"2026-03-06","3,946"
"2026-03-07","9,165"
"2026-03-08","4,433"
"2026-03-09","5,056"
"2026-03-10","2,504"
"2026-03-11","3,080"
"2026-03-12","2,107"
"2026-03-13","2,996"
"2026-03-14","3,183"
"2026-03-15","3,677"
"2026-03-16","2,586"
"2026-03-17","2,864"
"2026-03-18","2,683"
"2026-03-19","3,218"
"2026-03-20","3,770"
"2026-03-21","4,143"
"2026-03-22","4,344"
"2026-03-23","2,896"
"2026-03-24","3,466"
"2026-03-25","2,217"
"2026-03-26","2,969"
"2026-03-27","2,280"
