Date,Next-gen Console,Handheld Console,Console,PC,Mobile
"2026-01-16","368,845","152,497","124,441","105,510","23,570"
"2026-01-17","86,708","57,476","26,141","18,768","5,306"
"2026-01-18","662,952","307,321","221,431","173,183","52,604"
"2026-01-19","453,105","181,301","155,466","109,633","38,372"
"2026-01-20","168,411","64,611","56,495","44,504","14,376"
"2026-01-21","47,898","22,909","14,798","13,631","2,907"
"2026-01-22","54,145","20,551","15,996","14,240","3,236"
"2026-01-23","44,506","18,230","13,119","13,294","1,945"
"2026-01-24","767,777","313,851","315,616","217,146","10,868"
"2026-01-25","1,401,088","589,618","557,885","402,078","24,006"
"2026-01-26","235,851","113,994","118,607","87,270","3,934"
"2026-01-27","1,275,496","534,544","482,514","362,909","31,447"
"2026-01-28","1,258,331","544,389","534,280","355,839","37,667"
"2026-01-29","1,512,194","725,976","642,539","463,850","60,369"
"2026-01-30","1,655,746","748,201","675,164","488,412","67,214"
"2026-01-31","2,478,620","1,323,981","964,699","705,519","110,066"
"2026-02-01","2,051,952","1,073,091","827,100","609,307","78,852"
"2026-02-02","500,541","201,080","244,405","163,212","8,098"
"2026-02-03","641,222","307,205","250,007","191,280","11,753"
"2026-02-04","733,941","398,792","283,996","225,725","10,734"
"2026-02-05","731,143","187,707","241,631","210,740","8,869"
"2026-02-06","863,778","229,418","298,487","237,457","9,059"
"2026-02-07","913,797","384,121","280,831","230,899","9,843"
"2026-02-08","1,041,394","487,380","342,190","329,347","20,915"
"2026-02-09","401,268","201,829","136,909","98,444","8,940"
"2026-02-10","326,739","127,175","125,134","82,857","8,419"
"2026-02-11","568,628","314,022","227,094","143,875","18,287"
"2026-02-12","503,921","221,474","194,038","120,092","10,330"
"2026-02-13","303,919","126,640","107,209","65,623","8,157"
"2026-02-14","158,931","89,869","47,937","34,913","7,995"
"2026-02-15","42,551","18,359","12,496","11,930","1,661"
"2026-02-16","135,303","49,065","35,545","29,700","2,841"
"2026-02-17","65,223","27,491","21,523","12,493","2,184"
"2026-02-18","244,392","107,622","77,576","44,664","5,775"
"2026-02-19","160,665","83,311","52,160","35,807","9,353"
"2026-02-20","57,432","23,630","18,633","15,400","1,697"
"2026-02-21","143,962","52,079","42,790","34,536","2,595"
"2026-02-22","39,683","14,214","13,652","12,148","1,159"
"2026-02-23","101,341","30,471","26,748","26,596","1,799"
"2026-02-24","54,703","18,896","15,292","12,580","1,429"
"2026-02-25","89,445","26,055","25,016","23,778","1,707"
"2026-02-26","70,927","23,477","20,997","16,496","1,717"
"2026-02-27","157,932","81,006","51,892","38,687","5,246"
"2026-02-28","187,382","97,640","59,446","34,874","5,046"
"2026-03-01","973,803","165,463","319,881","242,770","33,509"
"2026-03-02","394,691","27,386","129,574","107,300","21,568"
"2026-03-03","41,378","11,771","16,685","9,465","2,018"
"2026-03-04","143,355","41,967","51,810","29,090","3,420"
"2026-03-05","72,704","21,342","25,791","13,177","2,346"
"2026-03-06","186,551","64,577","54,943","37,276","3,580"
"2026-03-07","822,345","156,992","260,777","171,226","25,869"
"2026-03-08","133,172","57,408","44,833","24,272","3,820"
"2026-03-09","494,888","4,068","169,210","155,260","20,732"
"2026-03-10","29,633","7,308","7,463","8,277","1,205"
"2026-03-11","116,744","36,188","36,737","26,271","2,813"
"2026-03-12","31,282","8,222","8,755","9,565","1,209"
"2026-03-13","116,051","38,957","32,639","28,090","2,106"
"2026-03-14","87,953","36,260","29,142","21,014","1,740"
"2026-03-15","110,378","46,364","40,327","29,215","2,610"
"2026-03-16","80,907","29,605","27,213","19,673","1,984"
"2026-03-17","92,242","31,729","31,166","25,254","2,361"
"2026-03-18","88,602","32,189","29,050","21,682","2,390"
"2026-03-19","83,630","24,203","20,499","20,414","3,246"
"2026-03-20","116,014","33,055","25,638","25,254","3,523"
"2026-03-21","126,913","41,554","27,542","26,406","3,798"
"2026-03-22","112,371","37,774","30,691","24,738","4,562"
"2026-03-23","47,741","19,865","21,544","11,129","3,238"
"2026-03-24","161,346","36,584","46,781","41,778","3,330"
"2026-03-25","33,792","11,044","9,093","9,155","1,646"
"2026-03-26","127,914","33,367","34,522","34,178","2,998"
"2026-03-27","40,093","11,211","11,138","11,090","1,169"
