Date,Discover - General Rows,Discover - Collections,Discover - Homebar,Following,Search Results,Creator Pages,Recents,Other Sources,Discover - Recommendations,By Epic,Sponsored Row
"2026-01-16","666,208","46,215","31,029","21,230","4,427","2,248","2,161","1,345","0","0","0"
"2026-01-17","16,167","102,075","30,482","31,535","7,501","2,233","4,332","74","0","0","0"
"2026-01-18","1,265,064","66,735","25,235","40,425","7,828","3,200","6,137","2,599","268","0","0"
"2026-01-19","834,891","34,590","24,103","27,206","6,310","3,422","5,108","1,764","483","0","0"
"2026-01-20","263,667","24,496","24,114","24,420","4,336","1,932","4,276","597","559","0","0"
"2026-01-21","21,898","27,701","18,809","22,477","4,943","1,636","3,966","76","637","0","0"
"2026-01-22","20,109","38,247","20,679","19,206","4,251","1,336","3,695","52","593","0","0"
"2026-01-23","26,644","28,541","11,307","11,535","5,571","1,528","5,258","97","613","0","0"
"2026-01-24","1,531,919","40,927","14,493","12,698","8,539","2,394","10,156","3,423","709","0","0"
"2026-01-25","2,851,340","60,123","18,716","11,718","9,853","2,824","12,329","6,640","1,132","0","0"
"2026-01-26","485,266","34,288","12,379","8,628","6,507","1,908","8,376","1,112","1,192","0","0"
"2026-01-27","2,571,354","60,748","13,303","16,682","5,526","1,738","9,781","5,773","2,005","0","0"
"2026-01-28","2,623,523","54,145","15,574","11,464","5,028","2,303","10,339","5,911","2,219","0","0"
"2026-01-29","3,319,405","33,318","16,796","8,710","4,625","2,053","11,134","7,071","1,816","0","0"
"2026-01-30","3,531,284","36,312","20,282","17,884","5,150","2,486","12,604","7,399","1,336","0","0"
"2026-01-31","5,422,218","69,364","27,716","18,792","8,252","4,596","18,979","11,724","1,244","0","0"
"2026-02-01","4,467,185","84,981","28,828","16,162","8,445","4,720","18,561","10,251","1,169","0","0"
"2026-02-02","1,018,139","50,238","18,279","9,624","4,609","2,522","10,516","2,369","1,040","0","0"
"2026-02-03","1,290,349","59,405","14,371","14,858","4,212","1,849","11,923","2,194","2,306","0","0"
"2026-02-04","1,559,524","41,133","14,002","13,298","4,338","1,302","12,469","2,250","4,872","0","0"
"2026-02-05","1,312,112","19,883","14,432","12,715","3,567","1,024","11,352","781","4,224","0","0"
"2026-02-06","1,560,498","29,539","15,016","9,756","4,656","1,419","12,997","264","4,054","0","0"
"2026-02-07","1,722,849","31,611","17,871","11,095","7,859","3,180","19,939","279","4,808","0","0"
"2026-02-08","2,051,455","74,918","42,590","11,137","8,901","3,157","23,076","2,248","3,744","0","0"
"2026-02-09","642,481","145,342","25,355","7,082","4,716","1,405","17,852","159","2,998","0","0"
"2026-02-10","501,189","113,598","17,992","13,080","4,196","1,188","15,855","103","3,123","0","0"
"2026-02-11","961,409","185,285","89,158","10,733","4,281","1,332","17,091","25","2,424","168","0"
"2026-02-12","828,395","167,202","17,861","12,485","4,267","1,049","15,911","158","2,527","0","0"
"2026-02-13","442,755","114,046","17,004","9,608","5,403","1,071","16,990","79","4,592","0","0"
"2026-02-14","131,496","143,421","18,525","10,350","8,053","1,467","22,375","55","3,903","0","0"
"2026-02-15","10,329","15,073","15,973","9,869","8,408","2,199","21,798","34","3,314","0","0"
"2026-02-16","173,669","23,935","13,014","7,786","7,495","1,377","22,109","60","3,009","0","0"
"2026-02-17","51,024","36,496","10,901","6,284","5,008","900","15,918","23","2,360","0","0"
"2026-02-18","402,147","40,384","11,685","5,717","4,584","832","12,873","108","1,699","0","0"
"2026-02-19","270,502","30,253","11,892","11,253","3,667","760","11,763","77","1,129","0","0"
"2026-02-20","48,486","21,019","10,798","15,386","4,660","894","13,777","47","1,725","0","0"
"2026-02-21","210,754","8,182","13,220","13,285","6,839","1,410","19,560","87","2,625","0","0"
"2026-02-22","29,371","151","12,115","10,270","6,977","1,689","17,449","33","2,801","0","0"
"2026-02-23","145,268","6,738","8,641","7,162","4,168","1,045","11,095","65","2,773","0","0"
"2026-02-24","60,174","12,147","7,333","5,833","3,694","905","9,460","22","3,332","0","0"
"2026-02-25","124,700","11,989","6,703","4,950","3,314","858","8,792","53","4,642","0","0"
"2026-02-26","79,493","25,865","6,858","4,871","3,650","838","8,615","37","3,387","0","0"
"2026-02-27","269,663","26,222","8,288","12,389","4,301","914","9,873","100","3,013","0","0"
"2026-02-28","315,981","16,208","10,603","14,245","7,076","1,289","15,060","115","3,811","0","0"
"2026-03-01","666,499","16,463","12,984","10,945","7,419","1,311","13,677","202","4,011","0","1,001,915"
"2026-03-02","118,396","11,264","9,316","6,537","3,980","669","8,742","42","2,460","0","519,113"
"2026-03-03","30,840","14,707","7,820","12,241","3,561","730","8,034","253","3,131","0","0"
"2026-03-04","198,552","40,081","7,545","8,652","3,280","794","7,754","148","2,836","0","0"
"2026-03-05","78,150","28,487","8,425","6,175","2,884","1,584","6,992","57","2,606","0","0"
"2026-03-06","303,970","10,558","9,074","6,341","3,849","1,276","8,674","86","3,099","0","0"
"2026-03-07","599,236","6,344","13,236","13,381","6,863","1,884","13,378","164","3,211","0","779,512"
"2026-03-08","203,154","17,746","11,630","6,661","6,850","1,820","12,843","416","2,385","0","0"
"2026-03-09","5,112","579","8,740","4,495","3,343","1,195","8,052","7","2,065","0","810,570"
"2026-03-10","3,083","9,158","7,643","2,678","3,121","1,310","7,508","373","19,012","0","0"
"2026-03-11","167,750","7,017","7,082","2,822","3,301","1,262","7,980","131","21,408","0","0"
"2026-03-12","20,968","72","6,599","2,753","3,356","896","7,878","50","16,461","0","0"
"2026-03-13","176,156","10,152","7,005","3,077","4,492","1,111","9,376","89","6,385","0","0"
"2026-03-14","100,573","32,259","8,455","4,288","6,868","1,528","13,694","76","8,368","0","0"
"2026-03-15","111,697","73,590","8,012","3,922","7,256","2,564","12,736","58","9,059","0","0"
"2026-03-16","79,081","46,455","6,031","2,703","4,648","2,738","8,982","37","8,707","0","0"
"2026-03-17","97,437","47,649","5,718","2,839","4,001","1,700","8,067","40","15,301","0","0"
"2026-03-18","83,714","51,757","5,876","2,905","4,103","1,635","7,741","33","16,149","0","0"
"2026-03-19","67,147","37,531","7,468","6,051","3,956","1,415","11,242","74","17,108","0","0"
"2026-03-20","116,091","33,593","7,168","6,811","5,580","2,753","14,069","82","17,337","0","0"
"2026-03-21","116,330","47,743","8,401","7,298","7,600","2,759","16,171","93","19,818","0","0"
"2026-03-22","82,064","68,409","7,596","7,268","8,246","2,582","14,964","77","18,930","0","0"
"2026-03-23","12,093","43,705","5,385","5,187","4,721","1,360","17,814","56","13,196","0","0"
"2026-03-24","220,400","25,490","5,327","4,409","4,112","1,700","8,657","53","19,671","0","0"
"2026-03-25","1,989","18,144","4,716","3,703","3,880","1,968","8,445","61","21,824","0","0"
"2026-03-26","172,666","8,502","4,772","3,713","3,573","1,555","7,844","63","30,291","0","0"
"2026-03-27","36,911","2,036","4,949","4,183","4,275","1,219","8,653","49","12,426","0","0"
