Date,Impressions
"2026-01-16","774,863"
"2026-01-17","194,399"
"2026-01-18","1,417,491"
"2026-01-19","937,877"
"2026-01-20","348,397"
"2026-01-21","102,143"
"2026-01-22","108,168"
"2026-01-23","91,094"
"2026-01-24","1,625,258"
"2026-01-25","2,974,675"
"2026-01-26","559,656"
"2026-01-27","2,686,910"
"2026-01-28","2,730,506"
"2026-01-29","3,404,928"
"2026-01-30","3,634,737"
"2026-01-31","5,582,885"
"2026-02-01","4,640,302"
"2026-02-02","1,117,336"
"2026-02-03","1,401,467"
"2026-02-04","1,653,188"
"2026-02-05","1,380,090"
"2026-02-06","1,638,199"
"2026-02-07","1,819,491"
"2026-02-08","2,221,226"
"2026-02-09","847,390"
"2026-02-10","670,324"
"2026-02-11","1,271,906"
"2026-02-12","1,049,855"
"2026-02-13","611,548"
"2026-02-14","339,645"
"2026-02-15","86,997"
"2026-02-16","252,454"
"2026-02-17","128,914"
"2026-02-18","480,029"
"2026-02-19","341,296"
"2026-02-20","116,792"
"2026-02-21","275,962"
"2026-02-22","80,856"
"2026-02-23","186,955"
"2026-02-24","102,900"
"2026-02-25","166,001"
"2026-02-26","133,614"
"2026-02-27","334,763"
"2026-02-28","384,388"
"2026-03-01","1,735,426"
"2026-03-02","680,519"
"2026-03-03","81,317"
"2026-03-04","269,642"
"2026-03-05","135,360"
"2026-03-06","346,927"
"2026-03-07","1,437,209"
"2026-03-08","263,505"
"2026-03-09","844,158"
"2026-03-10","53,886"
"2026-03-11","218,753"
"2026-03-12","59,033"
"2026-03-13","217,843"
"2026-03-14","176,109"
"2026-03-15","228,894"
"2026-03-16","159,382"
"2026-03-17","182,752"
"2026-03-18","173,913"
"2026-03-19","151,992"
"2026-03-20","203,484"
"2026-03-21","226,213"
"2026-03-22","210,136"
"2026-03-23","103,517"
"2026-03-24","289,819"
"2026-03-25","64,730"
"2026-03-26","232,979"
"2026-03-27","74,701"
