Date,Plays
"2026-01-16","5,418"
"2026-01-17","5,834"
"2026-01-18","6,740"
"2026-01-19","5,653"
"2026-01-20","4,831"
"2026-01-21","4,186"
"2026-01-22","4,031"
"2026-01-23","4,119"
"2026-01-24","6,950"
"2026-01-25","9,481"
"2026-01-26","5,126"
"2026-01-27","7,199"
"2026-01-28","8,000"
"2026-01-29","8,174"
"2026-01-30","9,600"
"2026-01-31","13,605"
"2026-02-01","14,087"
"2026-02-02","8,006"
"2026-02-03","7,317"
"2026-02-04","6,825"
"2026-02-05","5,752"
"2026-02-06","6,807"
"2026-02-07","7,805"
"2026-02-08","32,027"
"2026-02-09","9,822"
"2026-02-10","7,996"
"2026-02-11","11,609"
"2026-02-12","8,014"
"2026-02-13","6,903"
"2026-02-14","7,093"
"2026-02-15","6,369"
"2026-02-16","5,636"
"2026-02-17","4,381"
"2026-02-18","4,672"
"2026-02-19","4,452"
"2026-02-20","3,874"
"2026-02-21","4,954"
"2026-02-22","4,509"
"2026-02-23","3,397"
"2026-02-24","2,886"
"2026-02-25","2,914"
"2026-02-26","2,780"
"2026-02-27","3,361"
"2026-02-28","4,035"
"2026-03-01","6,399"
"2026-03-02","4,213"
"2026-03-03","2,847"
"2026-03-04","3,094"
"2026-03-05","2,333"
"2026-03-06","2,951"
"2026-03-07","5,331"
"2026-03-08","3,866"
"2026-03-09","3,495"
"2026-03-10","2,398"
"2026-03-11","2,261"
"2026-03-12","1,896"
"2026-03-13","2,251"
"2026-03-14","2,540"
"2026-03-15","2,832"
"2026-03-16","2,055"
"2026-03-17","2,120"
"2026-03-18","2,091"
"2026-03-19","2,259"
"2026-03-20","2,594"
"2026-03-21","2,992"
"2026-03-22","3,102"
"2026-03-23","2,162"
"2026-03-24","2,343"
"2026-03-25","1,851"
"2026-03-26","2,095"
"2026-03-27","1,906"
