Date,United States,Other Countries,United Kingdom,Canada,France,Mexico,Japan,Russia,Germany,Australia,Spain,Netherlands,Brazil,New Zealand,Argentina,Italy,Czechia,Saudi Arabia,Puerto Rico,Belgium,Denmark,Turkey,Poland,Finland,South Africa,Sweden,Israel,Ireland,China,Norway,Chile,Peru,Hungary,Portugal,United Arab Emirates,Ukraine,Colombia,Thailand,Switzerland
"2026-02-26","1,158","193","112","92","56","50","46","46","45","28","27","22","16","12","9","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-02-27","1,341","216","145","87","77","36","80","60","59","59","36","18","28","0","20","19","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-02-28","1,754","220","157","107","89","43","103","54","86","38","52","20","16","17","9","10","0","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-01","2,798","325","261","119","134","82","140","128","155","128","54","22","53","13","36","36","12","20","6","17","16","28","26","13","12","12","10","9","9","7","7","6","6","0","0","0","0","0","0"
"2026-03-02","2,037","249","127","129","51","83","80","39","64","66","13","12","9","13","29","17","0","20","6","7","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-03","1,227","231","97","80","56","42","43","48","71","55","16","8","8","0","6","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0"
"2026-03-04","1,376","209","109","90","66","43","47","38","69","30","25","13","19","7","7","12","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-05","1,033","196","90","76","28","46","39","39","60","26","19","9","0","0","14","7","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-06","1,360","204","94","82","45","35","51","41","72","42","28","10","6","0","0","8","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-07","2,462","278","208","128","100","51","78","118","131","53","64","23","60","9","16","48","0","19","0","11","7","16","27","0","15","15","0","0","0","9","12","0","0","9","8","6","0","0","0"
"2026-03-08","1,686","236","167","114","62","45","68","51","94","30","19","19","36","7","12","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-09","1,312","301","199","94","80","57","60","101","131","47","38","20","53","7","16","32","6","31","0","20","0","9","6","8","0","0","0","0","0","6","6","0","0","0","0","0","7","7","0"
"2026-03-10","955","210","118","55","50","36","37","43","54","34","25","13","16","0","0","6","0","10","8","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-11","1,090","199","74","67","54","18","32","43","63","37","19","9","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-12","822","171","82","56","29","11","22","32","36","25","19","10","12","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-13","1,029","173","84","72","32","32","31","27","44","32","32","10","22","0","6","9","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-14","996","211","122","102","41","33","44","44","74","35","21","10","34","0","0","9","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-15","1,076","252","128","85","56","26","58","62","62","60","29","15","16","0","13","20","12","0","0","12","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"2026-03-16","935","184","70","83","30","25","45","35","35","26","8","9","0","6","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-17","865","229","92","77","33","24","31","39","54","24","32","12","6","0","0","22","13","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-18","850","224","82","73","53","13","42","39","44","22","14","9","0","0","0","17","0","7","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-19","964","192","107","105","48","34","29","23","50","15","30","10","19","0","0","18","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-20","1,138","199","102","97","49","31","35","38","66","47","29","7","20","0","0","14","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-21","1,209","217","127","78","67","35","87","50","81","56","23","10","14","9","16","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0"
"2026-03-22","1,283","230","149","104","69","47","49","48","87","41","28","7","16","0","8","16","0","7","6","9","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0"
"2026-03-23","964","210","98","74","28","32","43","26","40","29","11","10","13","0","13","10","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-24","1,133","222","103","65","38","20","45","46","46","20","0","10","0","0","10","7","0","0","7","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
