Date,Next-gen Console,PC,Console,Other Platforms,Handheld Console,Mobile
"2026-02-26","964","287","258","221","183","14"
"2026-02-27","1,116","356","272","263","273","15"
"2026-02-28","1,331","369","404","267","401","21"
"2026-03-01","2,319","726","704","426","487","38"
"2026-03-02","1,557","438","481","316","230","35"
"2026-03-03","1,002","294","286","267","156","15"
"2026-03-04","1,077","351","310","250","166","13"
"2026-03-05","867","244","223","217","122","15"
"2026-03-06","1,037","304","285","238","208","19"
"2026-03-07","1,964","573","600","363","440","41"
"2026-03-08","1,309","359","360","285","325","22"
"2026-03-09","1,332","405","385","350","162","20"
"2026-03-10","817","252","235","240","122","10"
"2026-03-11","859","217","229","230","175","7"
"2026-03-12","652","207","151","193","126","10"
"2026-03-13","802","248","188","205","183","15"
"2026-03-14","846","277","216","237","197","12"
"2026-03-15","936","274","260","277","239","9"
"2026-03-16","735","209","205","212","155","0"
"2026-03-17","745","214","188","249","163","0"
"2026-03-18","717","205","163","246","157","7"
"2026-03-19","830","262","198","224","126","10"
"2026-03-20","970","272","221","236","171","8"
"2026-03-21","1,030","330","250","256","221","16"
"2026-03-22","1,075","330","309","272","220","10"
"2026-03-23","829","233","182","231","125","7"
"2026-03-24","896","252","229","248","142","11"
"2026-03-25","666","175","179","201","114","9"
"2026-03-26","730","241","211","219","145","12"
"2026-03-27","633","216","161","206","111","17"
