Date,1,2,3,4,5+
"2026-02-26","1093","578","143","63","28"
"2026-02-27","1257","635","223","102","25"
"2026-02-28","1458","830","301","139","11"
"2026-03-01","2394","1542","471","155","83"
"2026-03-02","1539","929","363","132","27"
"2026-03-03","1063","564","261","77","10"
"2026-03-04","1190","588","220","81","27"
"2026-03-05","942","452","183","47","38"
"2026-03-06","1128","597","227","68","38"
"2026-03-07","2194","1226","373","102","39"
"2026-03-08","1250","895","313","120","33"
"2026-03-09","1377","846","247","116","54"
"2026-03-10","881","525","149","56","23"
"2026-03-11","985","504","164","19","19"
"2026-03-12","726","390","114","46","12"
"2026-03-13","911","481","157","44","26"
"2026-03-14","948","499","207","75","14"
"2026-03-15","1024","646","197","72","13"
"2026-03-16","800","454","169","40","15"
"2026-03-17","864","437","159","65","16"
"2026-03-18","807","446","158","47","10"
"2026-03-19","974","480","114","44","10"
"2026-03-20","1154","490","146","49","13"
"2026-03-21","1206","579","165","81","20"
"2026-03-22","1172","666","219","87","37"
"2026-03-23","926","432","140","44","18"
"2026-03-24","1055","488","165","47","10"
"2026-03-25","780","348","117","51","21"
"2026-03-26","854","461","133","53","25"
"2026-03-27","746","367","137","49","8"
