Date,United States,Other Countries,United Kingdom,Canada,France,Germany,Japan,Mexico,Spain,Russia,Netherlands,Australia,Brazil,Italy,Argentina,New Zealand,Czechia,Saudi Arabia,Denmark,Puerto Rico,Belgium,Poland,Finland,Peru,Turkey,South Africa,Norway,Sweden,Chile,Israel,China,Ireland,Hungary,Portugal,United Arab Emirates,Ukraine,Thailand,Colombia,Switzerland
"2026-02-26","80,813","13,553","8,711","8,173","4,820","4,698","3,373","2,999","2,859","1,947","1,854","1,809","930","547","456","402","251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-02-27","88,698","16,046","10,920","7,992","5,325","4,951","5,483","1,997","3,065","3,762","1,768","4,656","1,434","847","1,279","0","333","570","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-02-28","112,890","15,897","12,737","8,277","6,134","8,346","8,007","3,382","3,324","3,174","2,396","3,999","428","539","1,034","1,228","0","0","374","301","290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-01","164,772","16,780","18,360","10,083","9,152","10,637","10,982","4,929","3,377","4,412","1,917","7,172","1,553","1,624","2,364","1,359","831","1,358","931","136","843","1,238","606","575","528","362","355","353","324","284","173","168","125","0","0","0","0","0","0"
"2026-03-02","127,988","17,006","8,656","7,915","3,802","7,731","5,565","4,611","643","2,566","1,601","3,995","183","408","1,039","900","0","917","0","414","467","381","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-03","84,067","15,173","9,209","6,009","3,944","6,421","2,635","3,947","1,056","2,397","1,191","3,672","272","897","219","0","0","0","0","0","0","0","0","320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-04","90,399","14,077","7,083","7,833","3,181","7,789","2,962","3,310","1,787","2,197","1,158","2,075","637","464","393","360","0","406","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-05","63,387","12,521","7,176","6,301","1,201","7,311","2,449","3,706","1,098","1,677","736","1,856","0","226","919","0","0","403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-06","85,236","12,292","8,187","4,820","2,041","9,354","4,464","2,408","1,941","2,210","632","2,707","444","256","0","0","445","246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-03-07","129,693","16,126","12,494","8,220","6,900","12,400","6,300","3,110","2,907","4,220","1,184","4,038","2,295","1,399","805","621","0","605","747","0","201","902","0","0","592","612","308","1,278","393","0","0","0","0","671","166","123","0","0","0"
