Date,Next-gen Console,PC,Console,Other Platforms,Handheld Console,Mobile
"2026-02-26","70,935","21,503","21,256","14,880","9,038","583"
"2026-02-27","73,922","27,579","25,188","18,748","12,808","881"
"2026-02-28","95,225","26,683","31,709","18,771","19,347","1,022"
"2026-03-01","136,772","45,876","49,150","21,218","23,815","1,832"
"2026-03-02","97,201","31,288","34,250","20,611","12,380","1,058"
"2026-03-03","70,429","20,840","23,465","17,348","8,409","938"
"2026-03-04","70,256","27,638","24,239","16,670","6,522","786"
"2026-03-05","55,238","16,712","18,194","13,731","6,405","687"
"2026-03-06","65,575","21,301","25,283","14,513","10,331","680"
"2026-03-07","104,813","36,923","38,875","19,687","18,042","970"
"2026-03-08","91,709","27,232","32,423","19,236","17,561","546"
"2026-03-09","77,223","28,179","27,215","15,817","8,811","692"
"2026-03-10","55,089","17,723","19,733","15,235","6,435","467"
"2026-03-11","47,107","13,522","14,637","11,549","8,596","178"
"2026-03-12","41,781","14,775","11,511","10,438","7,346","403"
"2026-03-13","46,488","16,441","12,834","13,342","9,238","617"
"2026-03-14","55,967","20,563","16,775","15,896","9,270","327"
"2026-03-15","62,407","20,519","19,783","16,277","11,307","467"
"2026-03-16","42,278","14,884","14,385","13,069","8,042","0"
"2026-03-17","48,494","12,971","12,568","12,936","10,965","0"
"2026-03-18","43,838","12,237","12,330","13,738","9,807","498"
"2026-03-19","45,687","12,862","10,993","10,392","6,345","237"
"2026-03-20","52,532","13,819","14,737","11,302","10,128","265"
"2026-03-21","61,897","20,545","17,109","14,826","10,312","319"
"2026-03-22","68,134","18,412","22,111","13,653","11,725","389"
"2026-03-23","48,301","14,309","13,445","12,745","7,486","118"
"2026-03-24","54,563","14,740","14,079","12,166","7,310","466"
"2026-03-25","42,878","11,072","11,818","10,385","5,514","306"
"2026-03-26","45,206","16,015","14,463","11,291","6,467","312"
"2026-03-27","38,605","13,137","12,025","12,475","5,598","286"
