Date,1,2,3,4,5+
"2026-02-26","1,214.817","749.05","170.983","108.733","54.3"
"2026-02-27","1,379.267","742.483","292.167","107.417","38.4"
"2026-02-28","1,632.7","1,057.783","412.483","129.3","9.5"
"2026-03-01","2,186.55","1,597.833","480.383","195.533","75.35"
"2026-03-02","1,630.383","1,132.483","358.7","138.867","14.467"
"2026-03-03","1,209.25","757.6","353.317","89.833","3.783"
"2026-03-04","1,188.183","728.7","312.05","126.267","27.033"
"2026-03-05","983.867","550.9","236.833","53.983","66.817"
"2026-03-06","1,114.75","733.133","239.55","73.067","41.917"
"2026-03-07","1,847.667","1,181.633","401.6","133.933","27.383"
"2026-03-08","1,372.267","1,097.467","414.283","193.067","55.617"
"2026-03-09","1,264.383","913.983","293.133","137.267","50.25"
"2026-03-10","958.283","610.133","200.167","64.467","37.2"
"2026-03-11","908.333","501.033","171.783","29.983","21.05"
"2026-03-12","756.483","458.05","107.583","41.7","15.267"
"2026-03-13","881.8","565.417","146.45","48.1","15.083"
"2026-03-14","1,025.15","567.35","263.067","69.7","14.183"
"2026-03-15","1,082.417","760.65","225.633","62.4","24.333"
"2026-03-16","837.117","504.1","178.467","32.55","8.05"
"2026-03-17","875.15","479.533","167.367","73.467","9.583"
"2026-03-18","776.75","506.9","171.833","46.233","7.2"
"2026-03-19","769.667","513.533","80.133","80.717","10.083"
"2026-03-20","961.883","479.017","208.117","35.133","3.617"
"2026-03-21","1,062.133","628.283","231.1","80.067","8.167"
"2026-03-22","1,098.9","781.75","259.467","74.05","38.367"
"2026-03-23","844.35","458.867","179.183","82.583","25.967"
"2026-03-24","922.917","515.3","223.9","41.933","10.483"
"2026-03-25","757.417","394.367","148.033","40.933","17.217"
"2026-03-26","770.1","558.8","135.417","36.15","23.567"
"2026-03-27","682.75","432.883","167.483","53.7","16.167"
