Date,Quest_ClassSpecific_Accepted,Room_Tower_D_Player_Died,Room_Snow_F_Player_Died,Gear_Head_Upgraded,Room_Swamp_G_Player_Died,Room_Mine_B_Player_Died,Run_Completed_50Minutes,Room_Mine_L_Player_Died,Room_Swamp_A_Player_Died,Weapons_Rifle_Upgraded,Quest_Elimination_MaxedOut,Boons_Store_Opened,Currency_CustomGold_Reached_500k,Weapons_Consumable_Upgraded,Currency_CustomGold_Reached_10k,Room_Mine_G_Player_Died,Room_Swamp_F_Player_Died,Room_Mountain_H_Player_Died,Gear_Store_Opened,Room_Tower_F_Player_Died,Quest_Elimination_Accepted,Powerups_MaxShield_Upgraded,Room_Tower_C_Player_Died,Room_Swamp_D_Player_Died,Room_Tower_G_Player_Died,Weapons_Store_Opened,Quest_Exploration_Completed,Quest_Store_Opened,Room_Mine_E_Player_Died,Room_Mountain_F_Player_Died,Gear_Shoulder_Upgraded,Gear_Chest_Upgraded,Room_Valley_C_Player_Died,Gear_Legs_Upgraded,Currency_CustomGold_Reached_100k,Quest_Exploration_Accepted,Quest_DefeatTheDragon_Completed,Room_Forest_E_Player_Died,Room_Mountain_C_Player_Died,Boons_Utility_Upgraded,Room_Mountain_A_Player_Died,Room_Snow_D_Player_Died,Quest_ClassSpecific_Completed,Room_Tower_B_Player_Died,Weapons_Pistol_Upgraded,Room_Forest_F_Player_Died,Class_Ranger_Picked,Room_Tower_A_Player_Died,Room_Mine_K_Player_Died,Gear_Boots_Upgraded,Gear_Arms_Upgraded,Powerups_GoldMult_Upgraded,Class_Berserk_Picked,Room_Swamp_B_Player_Died,Quest_DefeatTheDragon_MaxedOut,Powerups_DamageBoost_Upgraded,Room_Snow_E_Player_Died,Room_Forest_A_Player_Died,Quest_DefeatTheDragon_Accepted,Room_Valley_A_Player_Died,Room_Forest_C_Player_Died,Room_Swamp_H_Player_Died,Boons_Healing_Upgraded,Room_Snow_B_Player_Died,Room_Swamp_C_Player_Died,Weapons_Explosive_Upgraded,Room_Forest_D_Player_Died,Room_Mountain_G_Player_Died,Room_Mine_F_Player_Died,Room_Mine_I_Player_Died,Quest_Exploration_MaxedOut,Room_Mine_A_Player_Died,Room_Snow_A_Player_Died,Quest_ClassSpecific_MaxedOut,Run_Completed,Room_Tower_E_Player_Died,Room_Forest_B_Player_Died,Room_Mine_H_Player_Died,Weapons_Sniper_Upgraded,Class_Wizard_Picked,Room_Mountain_D_Player_Died,Powerups_MaxHP_Upgraded,Room_Mine_C_Player_Died,Room_Valley_B_Player_Died,Currency_CustomGold_Reached_50k,Room_Mountain_E_Player_Died,Quest_Elimination_Completed,Room_Swamp_E_Player_Died,Weapons_Shotgun_Upgraded,Boons_Damage_Upgraded,Room_Snow_C_Player_Died,Room_Mountain_B_Player_Died,Weapons_SMG_Upgraded,Room_Mine_J_Player_Died,Weapons_Artifact_Upgraded,Room_Valley_D_Player_Died,Powerups_Store_Opened,Room_Snow_G_Player_Died,Weapons_Pistol_MaxedOut,Boons_Damage_MaxedOut,Boons_Utility_MaxedOut,Boons_Healing_MaxedOut,Weapons_Consumable_MaxedOut,Run_Completed_30Minutes,Weapons_Shotgun_MaxedOut,Run_Completed_Over50Minutes,Weapons_Sniper_MaxedOut,Weapons_SMG_MaxedOut,Weapons_Rifle_MaxedOut,Currency_CustomGold_Reached_1M,Boons_Store_MaxedOut,Run_Completed_40Minutes,Weapons_Artifact_MaxedOut,Weapons_Explosive_MaxedOut,Run_Completed_20Minutes,Weapons_Store_MaxedOut,Run_Completed_10Minutes,Gear_Store_MaxedOut,Gear_Chest_MaxedOut,Gear_Boots_MaxedOut,Gear_Arms_MaxedOut,Gear_Legs_MaxedOut,Gear_Head_MaxedOut,Gear_Shoulder_MaxedOut,Currency_CustomGold_Reached_200M
"2026-01-16","2,151","165","319","505","145","1,932","1","87","42","1,242","562","5,298","1","732","585","121","123","8","3,961","166","6,320","2,954","139","419","189","7,614","20,968","4,696","191","48","400","292","3,187","310","69","4,899","621","2,411","36","409","269","43","1,285","60","1,237","446","3,607","197","50","284","209","7,721","6,502","1,405","158","1,015","59","4,130","1,229","4,148","2,183","82","573","457","983","254","786","85","151","44","586","838","970","277","1","153","3,054","97","600","4,655","115","3,744","299","803","176","46","8,673","265","569","684","360","59","721","49","269","732","7,829","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-01-17","327","166","608","721","177","2,785","0","226","53","1,562","60","7,227","8","945","849","279","174","8","5,245","217","978","4,236","294","401","249","10,402","22,048","509","162","58","569","440","3,809","477","186","744","276","5,433","35","630","320","148","543","70","1,561","238","5,175","345","77","434","358","10,405","9,380","1,114","14","1,417","162","7,794","146","4,892","4,734","272","786","945","753","411","1,616","145","161","44","58","1,162","1,826","25","165","306","5,908","230","784","6,625","114","5,231","403","944","300","51","7,602","255","769","908","827","99","953","74","418","840","11,079","139","1","1","1","1","5","24","1","141","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-01-18","0","252","647","794","176","2,894","29","261","50","1,553","0","7,567","23","941","995","353","184","11","5,209","339","0","4,441","464","419","410","10,864","22,679","0","200","57","674","523","3,823","577","290","0","192","5,905","32","661","353","153","398","113","1,505","267","5,188","511","136","512","418","10,506","10,205","1,032","0","1,482","181","8,275","0","5,012","5,063","329","855","953","694","379","1,802","160","193","41","0","1,171","1,874","0","281","478","6,275","253","796","7,073","174","5,395","502","939","450","66","7,263","258","797","1,000","878","100","1,030","149","437","868","11,787","122","0","0","0","0","4","39","0","138","0","0","0","7","0","71","1","1","4","1","0","0","0","0","0","0","0","0","0"
"2026-01-19","0","312","500","651","151","2,090","120","263","41","1,199","0","5,963","30","784","949","371","160","15","4,273","397","0","3,496","526","381","519","8,427","16,746","0","151","37","539","416","2,933","483","310","0","164","4,482","30","557","316","123","275","143","1,165","246","3,977","566","112","439","354","8,074","8,304","903","0","1,237","141","6,372","0","3,904","3,819","302","679","755","601","312","1,396","161","174","46","0","858","1,448","0","556","579","4,784","282","632","5,374","152","4,246","361","744","453","62","5,464","225","679","777","687","85","780","123","317","658","9,379","93","1","0","0","0","3","40","0","141","0","0","0","9","0","253","0","0","2","0","0","0","0","0","0","0","0","0","0"
"2026-01-20","0","265","484","269","102","1,836","140","217","35","514","0","4,749","32","308","884","292","145","16","3,611","392","0","1,563","548","279","487","6,754","2,112","0","147","49","253","192","2,572","234","300","0","38","3,794","32","210","306","110","30","118","653","158","3,459","569","82","210","169","4,466","7,444","714","0","458","122","5,382","0","3,272","3,234","299","266","640","451","110","1,185","159","163","37","0","793","1,281","0","419","596","3,987","216","313","4,353","130","1,943","269","654","482","51","749","189","251","274","609","90","319","89","142","554","8,128","105","0","0","1","0","7","78","0","122","0","0","0","12","0","70","0","0","9","0","0","0","0","0","0","0","0","0","0"
"2026-01-21","0","254","430","172","114","1,442","84","163","35","378","0","3,704","39","189","762","212","109","9","2,971","376","0","1,003","448","277","422","5,581","0","0","110","30","158","109","2,078","146","260","0","0","3,266","24","142","243","92","0","128","444","132","2,630","452","73","138","110","3,158","6,582","715","0","294","103","4,590","0","2,709","2,857","199","188","518","467","64","973","135","111","38","0","614","1,067","0","742","510","3,456","188","190","3,595","90","1,255","238","520","370","30","0","162","161","169","482","68","184","79","77","458","6,444","116","0","0","0","0","6","43","0","328","0","0","0","13","0","282","0","0","5","0","0","0","0","0","0","0","0","0","0"
"2026-01-22","0","268","470","201","118","1,537","36","202","34","428","0","3,898","45","219","921","295","141","13","2,850","401","0","1,166","525","261","472","5,716","0","0","118","42","183","130","1,894","168","273","0","0","3,246","25","180","296","112","0","140","494","126","2,539","534","89","144","110","3,428","6,316","664","0","329","125","4,639","0","2,311","2,798","247","236","566","411","76","1,101","161","134","41","0","674","1,138","0","399","586","3,490","208","209","3,697","157","1,376","250","522","410","51","0","203","164","256","508","61","202","108","96","432","6,588","100","0","0","0","0","3","91","0","121","0","0","0","12","0","49","0","0","92","0","10","0","0","0","0","0","0","0","0"
"2026-01-23","0","387","416","225","122","1,478","46","286","40","455","0","4,060","52","260","1,067","488","92","16","3,002","514","0","1,328","642","303","626","5,861","0","0","139","44","215","174","1,960","190","418","0","0","3,587","14","204","316","91","0","173","477","158","2,677","643","150","186","154","3,524","6,976","699","0","377","110","5,074","0","2,333","3,140","228","265","708","484","102","1,127","225","200","72","0","667","1,193","0","646","690","3,859","292","217","3,839","151","1,534","310","507","570","44","0","143","165","273","631","65","229","197","103","450","6,861","108","0","0","0","0","3","148","0","96","0","0","0","28","0","71","0","0","283","0","2","0","0","0","0","0","0","0","0"
"2026-01-24","0","529","651","378","205","2,389","36","323","43","670","0","6,192","71","369","1,507","538","168","15","4,887","787","0","1,883","1,010","449","929","9,389","0","0","172","43","334","281","3,667","315","585","0","0","5,570","46","305","494","155","0","239","785","288","4,722","1,025","212","301","239","5,221","10,707","1,037","0","629","170","8,096","0","4,426","4,756","366","396","952","713","151","1,803","273","232","63","0","971","1,810","0","836","1,151","6,038","347","357","6,455","261","2,349","419","942","809","73","0","237","286","389","849","108","352","243","168","854","10,115","144","0","0","0","0","7","197","0","129","0","0","0","29","0","103","0","0","348","0","23","0","0","0","0","0","0","0","0"
"2026-01-25","0","819","1,061","534","253","3,434","84","465","99","1,052","0","9,336","134","588","2,176","655","303","23","7,000","1,197","0","2,971","1,487","632","1,416","14,143","0","0","264","96","472","394","5,241","456","854","0","0","8,107","48","452","664","228","0","335","1,234","404","6,692","1,475","228","422","340","7,900","15,431","1,693","0","921","264","11,776","0","6,444","7,030","491","610","1,388","1,141","244","2,601","334","307","62","0","1,487","2,747","0","1,785","1,717","8,979","420","582","9,426","303","3,731","612","1,326","1,183","93","0","409","418","589","1,255","173","598","254","252","1,217","14,843","245","0","0","0","0","18","427","0","219","0","0","0","54","0","323","0","0","609","0","123","0","0","0","0","0","0","0","0"
