Date,Quest Completed (1258E36B4E52807AE1C9C590C2FC060F),576D64B54C6261741957F09137C861B4,Rest Zone (EA6E6A594C6B1DF8E04A7598F301602B),BB6E7E9746492976818CE8BFA7FCF64A,Quest Completed (BDEFC16247C24E18708197B88CDF8E17),E491FDCF4F176797156EC2B88B2A2979,Quest Completed (BDFCA6314D941E6E2B41459844C19FF9),Coin collected (DBEFEFDE40372D6E5B74B5AB71D176F9),Quest Completed (22F5BE9D44FCFF178396029B16197B24)
"2026-01-16","69,940","262,879","113,344","12,719","721","723,647","22,286","468,868","16,473"
"2026-01-17","22,576","139,070","32,242","2,652","495","302,015","7,207","256,646","8,734"
"2026-01-18","23,636","159,687","35,006","3,830","534","334,858","7,615","292,869","9,200"
"2026-01-19","16,702","130,982","36,449","3,969","544","281,920","5,578","235,026","7,167"
"2026-01-20","1,357","113,568","32,407","3,974","42","251,518","472","208,615","696"
"2026-01-21","0","96,815","28,397","3,789","0","223,278","0","182,960","0"
"2026-01-22","0","99,330","31,294","4,012","0","230,528","0","183,513","0"
"2026-01-23","0","109,048","37,040","5,031","0","261,341","0","208,502","0"
"2026-01-24","0","175,094","56,604","6,647","0","383,729","0","329,774","0"
"2026-01-25","0","250,370","85,202","10,277","0","526,271","0","472,227","0"
"2026-01-26","208","151,364","63,947","9,313","0","360,139","110","272,878","43"
"2026-01-27","22,754","188,804","64,725","8,027","224","450,912","9,954","338,467","9,470"
"2026-01-28","24,895","210,477","71,579","8,684","179","502,736","9,521","389,002","10,460"
"2026-01-29","24,227","210,249","71,409","10,917","226","517,163","9,048","375,559","10,004"
"2026-01-30","24,504","240,566","84,613","11,937","269","639,259","9,188","397,441","9,553"
"2026-01-31","34,917","337,406","114,524","14,319","363","829,927","12,675","549,189","12,305"
"2026-02-01","35,705","379,082","146,802","16,380","490","940,522","13,397","629,489","15,006"
"2026-02-02","14,001","233,576","97,346","14,657","357","649,102","6,126","368,329","8,699"
"2026-02-03","11,920","199,762","84,734","14,430","265","586,013","5,452","291,558","6,780"
"2026-02-04","10,301","183,771","78,000","14,040","248","563,587","5,069","264,419","5,886"
"2026-02-05","9,280","154,248","55,980","12,037","182","472,782","4,181","213,303","4,700"
"2026-02-06","11,546","178,189","65,902","12,242","179","524,600","5,184","259,798","5,573"
"2026-02-07","12,762","202,476","70,337","13,783","169","572,851","5,762","290,697","6,317"
"2026-02-08","90,822","642,302","114,776","17,245","302","1,311,821","30,790","951,982","20,896"
"2026-02-09","18,690","265,821","95,074","15,330","319","703,397","7,398","412,573","10,482"
"2026-02-10","11,164","199,985","78,734","12,784","252","611,563","5,300","298,673","7,013"
"2026-02-11","22,938","251,701","70,495","11,310","165","660,598","8,926","377,005","7,885"
"2026-02-12","12,821","209,235","69,208","15,174","226","641,284","5,609","310,396","6,948"
"2026-02-13","8,596","186,992","68,640","15,913","192","610,366","4,244","253,083","5,459"
"2026-02-14","8,202","195,210","83,227","17,784","226","650,727","4,110","254,868","5,332"
"2026-02-15","6,303","179,541","85,753","19,215","242","627,397","3,591","238,578","4,997"
"2026-02-16","6,769","165,763","70,236","16,726","158","566,880","3,316","215,521","4,800"
"2026-02-17","4,470","129,944","56,072","14,351","150","460,946","2,550","166,011","3,339"
"2026-02-18","5,486","130,235","57,995","14,642","114","468,766","2,912","164,665","3,366"
"2026-02-19","3,628","82,316","27,347","6,012","55","241,469","1,572","105,997","1,662"
"2026-02-20","3,405","95,904","40,292","9,571","72","376,432","1,877","121,852","2,232"
"2026-02-21","5,439","128,148","53,925","12,091","114","467,131","2,746","159,063","3,359"
"2026-02-22","4,157","127,917","53,908","13,397","112","474,549","2,281","164,242","3,089"
"2026-02-23","3,854","96,646","45,713","10,832","70","367,733","1,798","122,195","2,569"
"2026-02-24","2,588","82,857","38,453","10,315","48","334,851","1,493","96,431","1,915"
"2026-02-25","3,598","79,393","36,819","9,973","50","328,439","1,768","97,524","2,003"
"2026-02-26","3,277","76,126","32,063","9,905","41","314,719","1,665","93,551","1,840"
"2026-02-27","4,137","86,527","36,914","10,165","91","347,173","1,973","102,613","2,131"
"2026-02-28","5,385","106,594","43,991","12,079","102","427,408","2,594","138,225","2,988"
"2026-03-01","13,054","160,845","52,550","13,603","144","524,032","5,374","230,679","5,359"
"2026-03-02","7,542","113,267","40,058","11,144","109","400,007","3,130","152,366","3,689"
"2026-03-03","3,249","79,865","37,073","9,281","92","332,436","1,673","99,484","2,473"
"2026-03-04","4,168","77,531","40,498","8,735","91","304,741","1,961","99,899","2,370"
"2026-03-05","2,662","61,568","29,210","7,621","48","259,307","1,391","76,177","1,618"
"2026-03-06","3,719","69,333","28,082","7,649","74","288,568","1,751","87,036","1,848"
"2026-03-07","10,298","128,337","45,197","9,653","79","418,286","4,221","174,180","4,148"
"2026-03-08","5,153","100,087","48,121","9,551","102","384,831","2,342","137,346","3,195"
"2026-03-09","6,554","89,251","35,072","7,975","86","329,369","2,778","122,424","3,064"
"2026-03-10","2,527","61,365","27,067","7,078","60","248,487","1,283","75,594","1,832"
"2026-03-11","3,095","55,057","24,588","5,992","45","216,032","1,454","68,560","1,551"
"2026-03-12","1,824","45,561","19,194","5,029","42","186,325","970","54,169","1,171"
"2026-03-13","2,822","56,127","23,120","5,697","43","216,901","1,405","73,090","1,618"
"2026-03-14","2,907","64,619","29,768","6,828","79","251,920","1,401","82,812","1,811"
"2026-03-15","3,772","72,053","28,428","7,637","66","274,351","1,840","96,298","2,151"
"2026-03-16","2,849","51,339","19,995","5,119","58","204,972","1,307","68,144","1,652"
"2026-03-17","3,210","53,154","20,156","5,127","60","204,869","1,408","77,387","1,774"
"2026-03-18","2,815","51,013","18,923","4,710","54","195,852","1,339","76,011","1,543"
"2026-03-19","2,894","56,328","24,804","4,198","49","192,073","1,296","91,982","1,543"
