Date,Average rating
"2026-01-16","7.6"
"2026-01-17","7.9"
"2026-01-18","7.3"
"2026-01-19","6.5"
"2026-01-20","7.3"
"2026-01-21","8.7"
"2026-01-22","7.9"
"2026-01-23","6.8"
"2026-01-24","7.9"
"2026-01-25","8.7"
"2026-01-26","7.8"
"2026-01-27","7.9"
"2026-01-28","7.4"
"2026-01-29","7.9"
"2026-01-30","8.4"
"2026-01-31","7.9"
"2026-02-01","7.9"
"2026-02-02","9.3"
"2026-02-03","6.8"
"2026-02-04","7.3"
"2026-02-05","7.3"
"2026-02-06","7.6"
"2026-02-07","7.7"
"2026-02-08","7.8"
"2026-02-09","8"
"2026-02-10","9.4"
"2026-02-11","8"
"2026-02-12","6.9"
"2026-02-13","7.9"
"2026-02-14","6.8"
"2026-02-15","8.1"
"2026-02-16","7.6"
"2026-02-17","6.7"
"2026-02-18","6.3"
"2026-02-19","6"
"2026-02-20","6.4"
"2026-02-21","5.5"
"2026-02-22","7.4"
"2026-02-23","7.7"
"2026-02-24","10"
"2026-02-26","7.4"
"2026-02-27","5.7"
"2026-02-28","7.5"
"2026-03-01","8.6"
"2026-03-02","7.8"
"2026-03-03","8.3"
"2026-03-04","8.5"
"2026-03-05","7.3"
"2026-03-06","5.8"
"2026-03-07","8.7"
"2026-03-08","6"
"2026-03-09","9"
"2026-03-10","7"
"2026-03-11","5.5"
"2026-03-12","9"
"2026-03-13","7.8"
"2026-03-14","9"
"2026-03-15","8"
"2026-03-16","10"
"2026-03-17","8"
"2026-03-18","10"
"2026-03-19","9"
"2026-03-20","9"
"2026-03-22","8.2"
"2026-03-23","3"
"2026-03-24","8"
"2026-03-25","8.4"
"2026-03-27","8"
