Submitted,Published,Event type,Island name,Release number,Release note
"2026-01-15T16:00:53-08:00","2026-01-15T16:53:40-08:00","Release Published","DnD Zombie Dragon Adventure","2","Snap 10605 | 15.01.2026 | v0.1 Candidate 3
Built Localization: Yes"
"2026-01-16T08:46:28-08:00","2026-01-16T11:22:01-08:00","Release Published","DnD Zombie Dragon Adventure","3","
Built Localization: Yes"
"2026-01-16T15:16:26-08:00","2026-01-16T15:49:35-08:00","Release Published","DnD Zombie Dragon Adventure","4","Snap 10659 | 16.01.2026 | Candidate |
Built Localization: Yes"
"2026-01-17T12:55:06-08:00","2026-01-17T15:27:18-08:00","Release Published","DnD Zombie Dragon Adventure","5","Snap 10679 | 17.01.2026
Built Localization: Yes"
"2026-01-19T14:56:45-08:00","2026-01-19T16:06:58-08:00","Release Published","DnD Zombie Dragon Adventure","6","Snap 10721 | 19.01.2026 | Release Candidate | 
Built Localization: Yes"
"2026-01-20T15:55:53-08:00","2026-01-20T16:38:01-08:00","Release Published","DnD Zombie Dragon Adventure","7","Sanp 10774 | 20.01.2026 | Release Candidate
Built Localization: Yes"
"2026-01-21T18:00:10-08:00","2026-01-21T18:17:39-08:00","Release Published","DnD Zombie Dragon Adventure","8","Snap 10814 | 21.01.2026 | Release Candidate
Built Localization: Yes"
"2026-01-26T14:36:22-08:00","2026-01-26T14:56:16-08:00","Release Published","DnD Zombie Dragon Adventure","9","Snap 10880 | 21.01.2026 | Release Candidate
Built Localization: Yes"
"2026-01-29T15:44:07-08:00","2026-01-29T16:32:46-08:00","Release Published","DnD Zombie Dragon Adventure","10","RC Candidate 29-08-2026"
"2026-02-02T19:49:34-08:00","2026-02-02T20:01:09-08:00","Release Published","DnD Zombie Dragon Adventure","11","RC V1.0.8
Built Localization: Yes"
"2026-02-04T16:14:44-08:00","2026-02-04T16:48:08-08:00","Release Published","DnD Zombie Dragon Adventure","12","RC V1.0.9
Built Localization: Yes"
"2026-02-09T16:25:26-08:00","2026-02-09T16:47:27-08:00","Release Published","DnD Zombie Dragon Adventure","13","Updated RC [Version v1.0.10.2] [09-02-2026] 
Snapshot 11239"
"2026-02-11T16:55:37-08:00","2026-02-11T17:26:42-08:00","Release Published","DnD Zombie Dragon Adventure","14","RC v1.0.11
Built Localization: Yes"
"2026-02-18T15:36:12-08:00","2026-02-18T16:10:33-08:00","Release Published","DnD Zombie Dragon Adventure","15","RC - v1.0.12
Built Localization: Yes"
"2026-02-19T14:47:51-08:00","2026-02-19T16:56:06-08:00","Release Published","DnD Zombie Dragon Adventure","16","RC 19-02-2026"
"2026-02-26T18:26:59-08:00","2026-02-26T18:41:23-08:00","Release Published","DnD Zombie Dragon Adventure","17","RC v1.0.14
Built Localization: Yes"
"2026-03-02T16:44:23-08:00","2026-03-02T17:02:52-08:00","Release Published","DnD Zombie Dragon Adventure","18","RC Snap 11775 02.03.2026
Built Localization: Yes"
