Date,Next-gen Console,Console,Handheld Console,PC,Mobile,Other Platforms
"2025-05-16","60,802","18,596","17,873","9,392","603","0"
"2025-05-17","196,754","57,245","75,216","31,503","3,512","0"
"2025-05-18","129,039","43,328","45,278","21,626","2,766","0"
"2025-05-19","69,392","20,445","21,467","15,146","1,762","0"
"2025-05-20","63,152","20,646","20,590","13,823","2,292","0"
"2025-05-21","90,934","35,523","31,408","21,415","12,348","0"
"2025-05-22","86,371","36,555","27,372","19,470","13,620","0"
"2025-05-23","89,427","37,098","31,058","19,427","12,245","0"
"2025-05-24","99,275","44,467","42,012","18,954","12,072","0"
"2025-05-25","80,386","36,773","32,767","17,369","10,475","0"
"2025-05-26","58,170","25,016","19,970","11,566","8,155","0"
"2025-05-27","51,669","22,980","16,945","11,668","7,291","0"
"2025-05-28","62,361","28,178","23,784","15,461","8,220","0"
"2025-05-29","31,350","12,151","11,722","6,382","3,343","0"
"2025-05-30","28,690","12,362","13,231","5,530","2,654","0"
"2025-05-31","17,380","7,455","8,819","3,603","1,588","0"
"2025-06-01","13,145","6,156","6,703","2,924","1,208","0"
"2025-06-02","8,340","3,795","3,560","2,023","1,043","0"
"2025-06-03","6,849","2,950","2,851","1,587","661","0"
"2025-06-04","3,548","1,457","1,398","1,005","688","0"
"2025-06-05","2,683","1,208","1,005","814","514","14"
"2025-06-06","2,603","1,145","1,101","846","527","34"
"2025-06-07","5,020","2,007","1,893","1,388","1,848","69"
"2025-06-08","4,939","1,863","1,912","1,333","511","45"
"2025-06-09","3,904","1,647","1,583","989","583","29"
"2025-06-10","3,962","1,742","1,541","1,055","861","34"
"2025-06-11","3,344","1,280","1,462","843","777","32"
"2025-06-12","3,325","1,284","1,258","818","760","33"
"2025-06-13","3,587","1,468","1,459","820","785","36"
"2025-06-14","3,719","1,576","1,714","996","849","37"
"2025-06-15","8,356","3,321","4,553","1,869","969","93"
"2025-06-16","8,367","3,451","4,304","1,795","918","100"
"2025-06-17","8,032","3,277","3,842","1,781","1,008","95"
"2025-06-18","7,001","2,420","2,885","1,393","648","75"
"2025-06-19","5,906","2,462","2,635","1,276","715","65"
"2025-06-20","4,361","1,854","2,204","973","841","57"
"2025-06-21","9,261","3,661","5,596","2,074","951","158"
"2025-06-22","9,468","3,736","5,661","1,965","701","161"
"2025-06-23","5,834","2,499","2,887","1,154","697","88"
"2025-06-24","6,682","2,818","3,425","1,237","625","95"
"2025-06-25","6,127","2,537","3,170","1,193","629","94"
"2025-06-26","5,456","1,990","3,145","1,120","465","64"
"2025-06-27","5,928","2,379","3,228","1,074","581","100"
"2025-06-28","7,393","3,395","4,139","1,438","671","122"
"2025-06-29","7,910","3,714","4,422","1,632","835","164"
"2025-06-30","6,720","3,131","3,460","1,243","746","98"
"2025-07-01","7,154","3,440","3,644","1,327","812","123"
"2025-07-02","5,195","2,587","2,875","962","673","67"
"2025-07-03","5,766","2,831","3,015","1,083","594","105"
"2025-07-04","4,605","2,374","2,681","842","605","87"
"2025-07-05","5,747","2,927","3,486","1,128","652","115"
"2025-07-06","4,936","1,742","0","0","0","5,355"
"2025-07-07","4,445","1,700","0","0","0","4,852"
"2025-07-08","5,114","1,882","0","0","0","5,393"
"2025-07-09","5,254","1,807","0","0","0","5,313"
"2025-07-10","4,427","1,608","0","0","0","5,019"
