Date,Game Collections,Discover - Homebar,Discover - General Rows,Search Results,Libraries,Creator Pages,Browse Categories,Other Sources,Discover - Collections,Discover - Recommendations
"2025-05-16","93,112","7,223","5,464","552","528","372","14","1","0","0"
"2025-05-17","273,799","39,061","43,691","1,652","3,377","1,196","536","2","891","25"
"2025-05-18","173,050","37,909","22,710","1,454","3,461","714","532","11","2,180","16"
"2025-05-19","87,934","21,693","13,611","1,492","1,866","350","334","4","916","12"
"2025-05-20","70,162","27,512","18,340","1,017","1,833","388","348","7","856","40"
"2025-05-21","96,574","70,131","17,751","1,190","2,692","642","541","26","1,929","152"
"2025-05-22","101,817","63,774","10,725","1,048","2,653","526","579","15","2,073","178"
"2025-05-23","109,603","58,491","13,139","1,108","3,133","377","708","42","2,327","327"
"2025-05-24","136,061","59,655","11,280","1,168","3,845","473","949","24","2,783","542"
"2025-05-25","111,733","49,885","8,164","1,033","3,122","305","821","9","2,192","506"
"2025-05-26","76,734","34,901","5,467","754","2,211","221","617","15","1,573","384"
"2025-05-27","70,727","30,220","5,630","641","1,797","194","440","13","424","467"
"2025-05-28","94,934","30,606","8,674","639","1,871","204","615","52","0","409"
"2025-05-29","42,903","18,059","1,163","432","1,450","106","351","4","0","480"
"2025-05-30","43,682","14,724","773","384","1,471","81","422","1","9","920"
"2025-05-31","22,470","11,530","766","270","1,523","74","158","7","0","2,047"
"2025-06-01","18,028","8,232","624","293","1,249","41","96","3","0","1,570"
"2025-06-02","10,684","5,579","396","172","809","29","50","0","0","1,042"
"2025-06-03","8,360","4,371","312","139","717","37","23","2","0","937"
"2025-06-04","2,242","3,620","335","140","796","26","10","0","0","927"
"2025-06-05","1,512","2,846","286","139","707","13","15","0","0","720"
"2025-06-06","1,681","2,881","275","146","750","14","8","2","0","499"
"2025-06-07","2,577","6,270","399","221","986","18","10","5","0","1,739"
"2025-06-08","3,024","3,570","396","158","1,104","26","0","3","0","2,322"
"2025-06-09","2,794","2,509","266","139","764","21","0","0","0","2,242"
"2025-06-10","2,744","2,423","241","183","681","28","0","2","0","2,893"
"2025-06-11","2,451","1,970","202","167","565","9","0","2","0","2,372"
"2025-06-12","1,797","2,004","191","173","548","18","0","2","0","2,745"
"2025-06-13","1,856","1,916","211","172","572","25","0","1","0","3,402"
"2025-06-14","1,601","2,136","290","194","595","16","0","0","0","4,059"
"2025-06-15","10,916","2,949","234","212","563","32","42","0","0","4,213"
"2025-06-16","11,674","2,902","244","201","432","36","42","1","0","3,403"
"2025-06-17","11,187","2,958","168","168","426","40","41","2","0","3,045"
"2025-06-18","9,144","2,141","118","172","423","35","17","0","8","2,364"
"2025-06-19","7,320","2,344","166","256","412","29","0","3","25","2,504"
"2025-06-20","4,478","1,936","182","258","394","11","0","2","14","3,015"
"2025-06-21","13,989","2,935","245","343","482","40","0","1","90","3,576"
"2025-06-22","13,341","3,260","245","363","532","51","0","0","81","3,819"
"2025-06-23","6,655","2,334","171","283","432","43","0","0","34","3,207"
"2025-06-24","8,977","2,348","169","310","390","29","0","0","56","2,603"
"2025-06-25","9,357","2,237","167","269","374","31","0","0","63","1,252"
"2025-06-26","8,474","1,941","165","261","309","38","0","0","22","1,030"
"2025-06-27","9,055","2,087","160","543","343","30","0","0","38","1,034"
"2025-06-28","12,355","2,435","164","706","408","35","0","0","53","1,002"
"2025-06-29","13,798","2,716","180","681","399","32","0","1","56","814"
"2025-06-30","11,265","2,502","155","363","363","35","0","0","42","673"
"2025-07-01","12,351","2,577","155","428","356","24","0","0","50","559"
"2025-07-02","8,794","2,227","148","388","334","21","0","1","30","416"
"2025-07-03","10,036","2,085","165","316","325","36","0","0","63","368"
"2025-07-04","8,131","1,993","123","245","338","21","0","0","29","314"
"2025-07-05","10,759","2,145","145","263","335","37","0","0","38","333"
"2025-07-06","8,768","2,079","151","294","335","26","0","0","27","353"
"2025-07-07","7,772","2,004","129","315","347","32","0","1","28","369"
"2025-07-08","9,063","2,092","133","247","292","28","0","0","23","511"
"2025-07-09","9,013","2,088","142","286","261","69","0","0","30","485"
"2025-07-10","7,952","1,964","109","253","308","25","0","1","27","415"
"2025-07-11","9,822","2,137","133","258","338","14","0","1","39","384"
"2025-07-12","9,273","2,210","154","204","332","35","0","1","45","465"
"2025-07-13","8,876","2,326","148","223","323","27","0","2","41","432"
"2025-07-14","7,791","2,134","122","215","325","29","0","0","11","387"
"2025-07-15","4,689","1,327","82","172","212","10","0","0","18","167"
"2025-07-16","7,204","1,889","133","210","245","21","0","0","28","213"
"2025-07-17","4,868","1,530","124","156","228","8","0","0","12","209"
"2025-07-18","6,401","1,664","118","171","256","13","0","0","20","222"
"2025-07-19","6,938","1,712","124","178","239","22","0","0","15","208"
"2025-07-20","7,379","1,831","111","165","283","18","0","0","24","197"
"2025-07-21","7,858","1,789","143","214","259","37","0","0","23","191"
"2025-07-22","7,669","1,898","148","221","319","23","0","0","25","182"
"2025-07-23","7,033","1,970","155","210","375","19","0","0","24","145"
"2025-07-24","6,226","1,820","147","221","303","24","0","0","14","172"
"2025-07-25","7,562","1,900","119","192","313","13","0","0","17","169"
"2025-07-26","7,902","2,022","129","205","294","12","0","0","31","184"
"2025-07-27","6,728","1,875","159","175","344","25","0","1","25","181"
"2025-07-28","7,821","1,838","156","171","331","15","0","0","16","204"
"2025-07-29","7,356","1,545","147","137","251","15","0","7","27","138"
"2025-07-30","7,293","1,658","193","138","265","28","0","39","11","183"
"2025-07-31","6,788","1,757","183","138","254","13","0","18","12","195"
"2025-08-01","8,513","1,805","232","120","250","16","0","18","22","238"
"2025-08-02","7,890","1,826","218","149","285","20","0","14","22","211"
"2025-08-03","7,229","1,707","182","154","304","24","0","6","15","199"
"2025-08-04","6,683","1,556","191","137","293","15","0","21","16","189"
"2025-08-05","6,646","1,603","179","152","276","0","0","49","0","179"
"2025-08-06","8,003","1,798","161","181","311","17","0","24","0","177"
"2025-08-07","4,229","1,271","126","166","328","15","0","7","0","39"
"2025-08-08","6,165","1,485","173","193","348","13","0","2","0","0"
"2025-08-09","7,718","1,800","125","237","372","13","0","10","0","0"
"2025-08-10","6,439","1,768","135","226","364","20","0","3","0","6"
"2025-08-11","5,599","1,465","120","186","303","20","0","1","16","42"
"2025-08-12","6,190","1,353","100","167","284","16","0","0","0","100"
"2025-08-13","4,487","1,256","110","163","310","13","0","1","0","94"
"2025-08-14","4,932","1,177","78","113","280","12","0","0","0","87"
"2025-08-15","3,951","1,130","86","86","236","13","0","0","0","81"
"2025-08-16","5,523","1,348","87","117","257","19","0","4","0","74"
"2025-08-17","6,254","1,520","101","144","258","15","0","0","0","99"
"2025-08-18","4,961","1,242","98","85","241","0","0","7","0","78"
"2025-08-19","3,768","1,033","95","87","204","9","0","0","0","80"
"2025-08-20","195","714","75","39","204","7","0","1","0","78"
"2025-08-21","562","607","67","26","191","0","0","4","0","72"
"2025-08-22","758","575","57","17","145","0","0","2","0","88"
"2025-08-23","2,679","762","62","15","176","9","0","0","0","90"
"2025-08-24","2,145","728","57","13","168","0","0","5","0","80"
"2025-08-25","572","475","46","13","149","0","0","1","0","54"
"2025-08-26","1,450","492","40","10","119","6","0","0","0","59"
"2025-08-27","1,266","506","43","15","126","0","0","3","0","77"
"2025-08-28","190","432","56","10","131","0","0","5","0","63"
"2025-08-29","82","381","50","13","148","0","0","5","0","62"
"2025-08-30","13","345","65","14","145","0","0","5","0","83"
"2025-08-31","36","367","55","9","163","0","0","4","0","97"
"2025-09-01","23","338","46","24","152","7","0","0","0","105"
"2025-09-02","9","262","27","12","108","0","0","0","0","52"
"2025-09-03","19","242","30","6","115","0","0","2","0","53"
"2025-09-04","42","235","29","7","83","0","0","5","0","59"
"2025-09-05","71","279","39","9","121","0","0","2","0","65"
"2025-09-06","117","310","49","12","168","7","0","0","0","64"
"2025-09-07","68","331","42","11","139","0","0","3","0","64"
"2025-09-08","51","194","29","0","83","0","0","4","0","44"
"2025-09-09","101","166","28","7","94","0","0","4","0","36"
"2025-09-10","115","157","23","0","63","0","0","9","0","32"
"2025-09-11","81","153","16","0","98","0","0","6","0","50"
"2025-09-12","13","197","29","6","116","0","0","1","0","38"
"2025-09-13","20","236","40","8","106","0","0","4","0","48"
"2025-09-14","9","189","37","8","113","0","0","3","0","46"
"2025-09-15","25","152","16","0","96","0","0","7","0","54"
"2025-09-16","34","152","17","0","73","0","0","5","0","39"
"2025-09-17","44","148","19","8","83","0","0","1","0","32"
"2025-09-18","97","153","25","0","78","0","0","9","0","29"
"2025-09-19","34","152","41","0","88","0","0","5","0","33"
"2025-09-20","19","204","58","13","117","0","0","2","0","66"
