Date,Clicks
"2025-05-16","107,266"
"2025-05-17","364,230"
"2025-05-18","242,037"
"2025-05-19","128,212"
"2025-05-20","120,503"
"2025-05-21","191,628"
"2025-05-22","183,388"
"2025-05-23","189,255"
"2025-05-24","216,780"
"2025-05-25","177,770"
"2025-05-26","122,877"
"2025-05-27","110,553"
"2025-05-28","138,004"
"2025-05-29","64,948"
"2025-05-30","62,467"
"2025-05-31","38,845"
"2025-06-01","30,136"
"2025-06-02","18,761"
"2025-06-03","14,898"
"2025-06-04","8,096"
"2025-06-05","6,238"
"2025-06-06","6,256"
"2025-06-07","12,225"
"2025-06-08","10,603"
"2025-06-09","8,735"
"2025-06-10","9,195"
"2025-06-11","7,738"
"2025-06-12","7,478"
"2025-06-13","8,155"
"2025-06-14","8,891"
"2025-06-15","19,161"
"2025-06-16","18,935"
"2025-06-17","18,035"
"2025-06-18","14,422"
"2025-06-19","13,059"
"2025-06-20","10,290"
"2025-06-21","21,701"
"2025-06-22","21,692"
"2025-06-23","13,159"
"2025-06-24","14,882"
"2025-06-25","13,750"
"2025-06-26","12,240"
"2025-06-27","13,290"
"2025-06-28","17,158"
"2025-06-29","18,677"
"2025-06-30","15,398"
"2025-07-01","16,500"
"2025-07-02","12,359"
"2025-07-03","13,394"
"2025-07-04","11,194"
"2025-07-05","14,055"
"2025-07-06","12,033"
"2025-07-07","10,997"
"2025-07-08","12,389"
"2025-07-09","12,374"
"2025-07-10","11,054"
"2025-07-11","13,126"
"2025-07-12","12,719"
"2025-07-13","12,398"
"2025-07-14","11,014"
"2025-07-15","6,677"
"2025-07-16","9,943"
"2025-07-17","7,135"
"2025-07-18","8,865"
"2025-07-19","9,436"
"2025-07-20","10,008"
"2025-07-21","10,514"
"2025-07-22","10,485"
"2025-07-23","9,931"
"2025-07-24","8,927"
"2025-07-25","10,285"
"2025-07-26","10,779"
"2025-07-27","9,513"
"2025-07-28","10,552"
"2025-07-29","9,623"
"2025-07-30","9,808"
"2025-07-31","9,358"
"2025-08-01","11,214"
"2025-08-02","10,635"
"2025-08-03","9,820"
"2025-08-04","9,101"
"2025-08-05","9,084"
"2025-08-06","10,672"
"2025-08-07","6,181"
"2025-08-08","8,379"
"2025-08-09","10,275"
"2025-08-10","8,961"
"2025-08-11","7,752"
"2025-08-12","8,210"
"2025-08-13","6,434"
"2025-08-14","6,679"
"2025-08-15","5,583"
"2025-08-16","7,429"
"2025-08-17","8,391"
"2025-08-18","6,712"
"2025-08-19","5,276"
"2025-08-20","1,313"
"2025-08-21","1,529"
"2025-08-22","1,642"
"2025-08-23","3,793"
"2025-08-24","3,196"
"2025-08-25","1,310"
"2025-08-26","2,176"
"2025-08-27","2,036"
"2025-08-28","887"
"2025-08-29","741"
"2025-08-30","670"
"2025-08-31","731"
"2025-09-01","695"
"2025-09-02","470"
"2025-09-03","467"
"2025-09-04","460"
"2025-09-05","586"
"2025-09-06","727"
"2025-09-07","658"
"2025-09-08","405"
"2025-09-09","436"
"2025-09-10","399"
"2025-09-11","404"
"2025-09-12","400"
"2025-09-13","462"
"2025-09-14","405"
"2025-09-15","350"
"2025-09-16","320"
"2025-09-17","335"
"2025-09-18","391"
"2025-09-19","353"
"2025-09-20","479"
"2025-09-21","454"
"2025-09-22","290"
"2025-09-23","273"
"2025-09-24","326"
"2025-09-25","226"
"2025-09-26","275"
"2025-09-27","410"
"2025-09-28","306"
"2025-09-29","230"
"2025-09-30","282"
"2025-10-01","289"
"2025-10-02","233"
"2025-10-03","231"
"2025-10-04","323"
"2025-10-05","287"
"2025-10-06","176"
"2025-10-07","180"
"2025-10-08","203"
"2025-10-09","220"
"2025-10-10","261"
"2025-10-11","335"
"2025-10-12","305"
"2025-10-13","233"
"2025-10-14","217"
"2025-10-15","179"
"2025-10-16","183"
"2025-10-17","179"
"2025-10-18","288"
"2025-10-19","293"
"2025-10-20","174"
"2025-10-21","181"
"2025-10-22","155"
"2025-10-23","144"
"2025-10-24","177"
"2025-10-25","265"
"2025-10-26","219"
"2025-10-27","162"
"2025-10-28","170"
"2025-10-29","173"
"2025-10-30","148"
"2025-10-31","159"
