Date,Next-gen Console,Console,Handheld Console,PC,Mobile,Other Platforms
"2025-05-16","726,966","239,215","221,899","136,113","5,750","0"
"2025-05-17","4,694,727","1,533,026","1,883,673","1,016,576","51,750","0"
"2025-05-18","3,244,932","1,204,893","1,319,109","706,257","40,199","0"
"2025-05-19","1,936,222","717,566","667,584","488,044","26,947","0"
"2025-05-20","1,748,730","674,173","591,717","438,103","29,642","0"
"2025-05-21","1,632,022","698,792","650,812","402,545","153,639","0"
"2025-05-22","1,310,736","574,534","444,676","330,820","152,942","0"
"2025-05-23","1,549,276","677,523","573,334","405,715","160,320","0"
"2025-05-24","1,592,236","725,955","711,074","374,861","149,926","0"
"2025-05-25","1,273,194","596,991","555,040","332,459","120,701","0"
"2025-05-26","970,086","409,416","358,431","247,003","99,057","0"
"2025-05-27","889,414","391,520","312,051","233,038","82,535","0"
"2025-05-28","1,134,940","517,092","462,946","286,504","90,785","0"
"2025-05-29","676,178","267,020","241,623","147,671","50,176","0"
"2025-05-30","726,447","311,461","310,002","154,912","45,253","0"
"2025-05-31","679,613","291,648","301,131","153,729","39,916","0"
"2025-06-01","564,265","251,988","236,523","131,637","33,638","0"
"2025-06-02","388,873","175,033","140,480","92,521","25,259","5"
"2025-06-03","363,428","162,114","129,072","87,270","22,874","5"
"2025-06-04","201,080","85,940","65,058","50,768","20,451","5"
"2025-06-05","148,344","60,745","47,558","39,470","18,373","1,458"
"2025-06-06","126,211","53,197","45,275","32,101","16,832","1,507"
"2025-06-07","450,589","179,079","154,027","114,929","30,292","4,056"
"2025-06-08","366,465","140,528","120,431","94,181","30,020","3,802"
"2025-06-09","265,353","108,799","89,048","69,991","23,857","2,323"
"2025-06-10","205,049","87,282","62,479","57,756","19,696","1,798"
"2025-06-11","153,688","59,832","53,527","41,012","17,327","1,478"
"2025-06-12","153,922","64,378","45,612","41,576","15,868","1,298"
"2025-06-13","173,534","75,974","60,542","46,481","17,063","1,549"
"2025-06-14","193,923","82,916","76,149","53,370","26,144","1,570"
"2025-06-15","312,100","141,847","128,007","83,278","27,927","3,226"
"2025-06-16","312,876","143,644","113,279","80,777","26,966","3,030"
"2025-06-17","300,769","137,381","109,901","78,391","29,504","3,244"
"2025-06-18","349,253","133,713","102,808","90,101","18,561","3,438"
"2025-06-19","325,510","139,753","101,850","82,824","14,032","3,307"
"2025-06-20","240,598","107,030","86,832","64,223","14,626","2,521"
"2025-06-21","356,892","156,196","159,262","96,606","17,121","5,007"
"2025-06-22","376,848","167,402","164,590","102,493","17,439","5,342"
"2025-06-23","265,086","120,302","99,128","71,751","15,177","3,066"
"2025-06-24","329,327","152,070","121,188","80,214","14,467","3,869"
"2025-06-25","274,964","125,818","105,084","68,066","13,656","3,637"
"2025-06-26","258,140","103,845","98,032","63,887","12,803","3,374"
"2025-06-27","284,890","114,177","108,243","68,334","14,816","3,929"
"2025-06-28","284,709","123,328","118,710","69,669","14,649","4,404"
"2025-06-29","270,541","118,903","112,305","66,492","15,146","4,403"
"2025-06-30","242,093","109,309","95,324","55,669","13,976","3,591"
"2025-07-01","218,225","101,367","87,192","48,927","13,427","3,189"
"2025-07-02","186,087","88,430","77,857","42,857","12,404","2,738"
"2025-07-03","180,954","86,726","74,261","42,682","12,261","2,621"
"2025-07-04","163,363","77,110","69,478","39,305","11,689","2,773"
"2025-07-05","175,700","85,625","83,845","42,161","11,318","3,574"
"2025-07-06","159,275","54,216","0","0","0","147,459"
"2025-07-07","151,185","51,536","0","0","0","135,104"
"2025-07-08","172,321","58,705","0","0","0","150,332"
"2025-07-09","166,018","58,332","0","0","0","146,179"
"2025-07-10","147,290","50,927","0","0","0","132,614"
"2025-07-11","173,984","58,267","0","0","0","153,014"
"2025-07-12","165,381","56,680","0","0","0","153,124"
"2025-07-13","164,954","56,267","0","0","0","151,805"
"2025-07-14","151,771","51,416","0","0","0","135,767"
"2025-07-15","99,088","27,832","0","0","0","84,247"
"2025-07-16","130,428","39,519","0","0","0","121,927"
"2025-07-17","98,960","30,596","0","0","0","97,051"
