Date,Game Collections,Discover - General Rows,Discover - Homebar,Search Results,Libraries,Creator Pages,Browse Categories,Other Sources,Discover - Collections,Discover - Recommendations
"2025-05-16","886,351","382,796","48,558","5,573","4,707","1,943","14","1","0","0"
"2025-05-17","4,271,345","4,345,901","427,851","28,906","72,992","5,817","536","2","25,340","1,062"
"2025-05-18","2,247,213","3,631,023","448,284","25,888","89,224","3,374","532","11","68,791","1,050"
"2025-05-19","1,406,677","2,057,204","267,908","13,745","55,200","1,880","334","4","32,868","543"
"2025-05-20","1,082,137","2,010,978","295,806","11,882","55,409","2,070","348","7","22,098","1,630"
"2025-05-21","1,033,602","1,724,845","624,914","14,835","87,850","3,521","541","26","39,235","8,441"
"2025-05-22","1,076,320","901,751","662,684","15,155","96,561","2,571","579","15","45,978","12,094"
"2025-05-23","1,192,655","1,217,054","734,690","18,635","120,362","2,978","708","42","58,402","20,642"
"2025-05-24","1,487,267","1,003,023","777,526","25,151","142,550","2,407","949","24","80,726","34,429"
"2025-05-25","1,269,974","694,988","656,025","23,946","120,544","1,669","821","9","76,898","33,511"
"2025-05-26","891,633","509,347","487,698","20,107","89,084","1,156","617","15","56,878","27,458"
"2025-05-27","744,204","606,631","418,839","16,839","75,862","1,025","440","13","15,659","29,046"
"2025-05-28","893,128","1,022,826","443,521","17,108","81,579","1,105","615","62","0","32,323"
"2025-05-29","778,440","112,406","377,301","12,316","66,774","548","351","5","0","34,527"
"2025-05-30","938,926","59,634","386,511","14,902","72,891","528","422","1","9","74,251"
"2025-05-31","739,915","56,560","334,097","15,004","71,177","429","158","7","0","248,690"
"2025-06-01","622,056","50,907","258,808","14,035","58,496","304","96","3","0","213,346"
"2025-06-02","422,895","29,189","173,449","8,907","38,915","190","50","0","0","148,576"
"2025-06-03","400,422","25,647","151,544","8,483","35,625","167","23","2","0","142,850"
"2025-06-04","85,707","24,217","125,843","8,322","33,601","127","10","0","0","145,475"
"2025-06-05","46,127","21,252","105,500","8,046","30,297","84","15","0","0","104,627"
"2025-06-06","46,553","24,235","115,882","8,608","34,242","76","8","10","0","45,509"
"2025-06-07","134,138","38,448","228,505","24,072","62,242","122","10","5","0","445,430"
"2025-06-08","199,254","37,542","157,421","9,941","63,759","131","0","3","0","287,376"
"2025-06-09","129,725","25,066","107,556","8,348","41,956","137","0","0","0","246,583"
"2025-06-10","49,892","20,858","93,780","8,025","34,602","129","0","2","0","226,772"
"2025-06-11","41,734","17,256","75,496","7,413","29,270","105","0","2","0","155,588"
"2025-06-12","27,162","15,908","68,329","7,120","26,479","106","0","2","0","177,548"
"2025-06-13","24,562","17,546","70,044","7,936","27,333","112","0","1","0","227,609"
"2025-06-14","18,655","21,839","76,895","9,317","30,690","138","0","0","0","276,538"
"2025-06-15","274,710","19,904","83,456","10,800","27,959","208","42","0","0","279,306"
"2025-06-16","311,953","16,352","74,314","9,909","23,014","249","42","1","0","244,738"
"2025-06-17","291,094","15,583","72,086","9,701","22,509","218","41","2","0","247,956"
"2025-06-18","251,914","13,305","58,944","18,234","27,954","156","17","0","8","327,342"
"2025-06-19","191,537","14,009","65,779","26,159","24,707","162","0","3","25","344,895"
"2025-06-20","101,262","14,567","55,552","25,664","22,918","124","0","2","14","295,727"
"2025-06-21","362,066","17,889","73,187","30,582","26,420","257","0","1","90","280,592"
"2025-06-22","379,011","21,059","74,634","38,028","28,872","241","0","0","81","292,188"
"2025-06-23","206,567","15,240","55,489","29,697","22,221","168","0","0","34","245,094"
"2025-06-24","302,845","13,758","52,875","27,447","21,588","173","0","0","56","282,393"
"2025-06-25","300,859","13,725","52,148","23,924","21,577","157","0","0","63","178,772"
"2025-06-26","292,320","13,108","47,558","31,783","20,073","145","0","0","22","135,072"
"2025-06-27","289,133","15,462","48,557","67,090","23,630","152","0","0","38","150,327"
"2025-06-28","316,489","15,813","51,662","69,674","22,715","170","0","0","53","138,893"
"2025-06-29","313,043","15,635","55,079","65,430","21,681","191","0","1","56","116,674"
"2025-06-30","297,035","13,387","48,866","52,088","19,583","156","0","0","42","88,805"
"2025-07-01","268,472","12,817","49,423","46,481","18,620","169","0","0","50","76,295"
"2025-07-02","236,786","12,225","44,921","46,549","16,754","117","0","1","30","52,990"
"2025-07-03","242,096","11,450","41,987","41,764","16,074","128","0","0","970","45,036"
"2025-07-04","220,006","11,130","39,889","34,827","15,707","95","0","0","29","42,035"
"2025-07-05","258,194","11,469","41,860","33,940","15,580","141","0","0","38","41,001"
"2025-07-06","210,579","11,741","42,963","37,278","16,561","114","0","0","27","41,687"
"2025-07-07","198,076","10,588","37,554","33,664","14,827","119","0","1","28","42,968"
"2025-07-08","233,835","10,634","37,417","31,237","14,509","130","0","0","23","53,573"
"2025-07-09","228,787","10,235","36,648","30,128","13,424","160","0","0","30","51,117"
"2025-07-10","194,960","9,994","35,521","28,037","13,669","110","0","1","27","48,512"
"2025-07-11","244,757","11,237","38,200","26,239","15,352","107","0","1","39","49,333"
"2025-07-12","232,737","11,507","39,185","24,707","15,898","129","0","1","45","50,976"
"2025-07-13","236,236","10,792","38,743","24,133","14,217","134","0","2","41","48,728"
"2025-07-14","213,384","9,526","34,460","23,199","12,810","114","0","0","11","45,450"
"2025-07-15","132,544","6,259","23,639","17,187","9,868","64","0","0","18","21,588"
"2025-07-16","196,612","8,630","28,929","21,284","12,767","94","0","0","28","23,530"
"2025-07-17","139,724","7,887","25,995","21,140","11,212","61","0","0","12","20,576"
"2025-07-18","195,315","8,308","27,337","21,708","11,599","73","0","0","20","18,975"
"2025-07-19","177,555","8,651","29,615","19,770","12,088","92","0","0","15","19,237"
"2025-07-20","191,166","8,734","30,976","20,399","12,323","83","0","0","24","18,823"
"2025-07-21","204,746","8,442","30,351","20,259","11,807","118","0","0","23","18,130"
"2025-07-22","177,487","9,116","31,416","19,896","14,565","234","0","0","25","17,838"
"2025-07-23","177,939","9,314","30,980","19,707","15,372","191","0","0","24","18,266"
"2025-07-24","184,390","8,824","30,597","18,332","13,859","163","0","0","14","18,174"
"2025-07-25","190,178","8,967","30,447","17,981","13,310","141","0","0","17","18,284"
"2025-07-26","212,632","9,660","33,853","17,979","14,366","153","0","0","31","21,522"
"2025-07-27","195,833","9,369","32,294","17,562","13,839","154","0","1","25","18,740"
"2025-07-28","210,763","8,955","31,088","17,281","13,037","139","0","0","16","18,548"
