Date,Impressions
"2025-05-16","1,329,943"
"2025-05-17","9,179,752"
"2025-05-18","6,515,390"
"2025-05-19","3,836,363"
"2025-05-20","3,482,365"
"2025-05-21","3,537,810"
"2025-05-22","2,813,708"
"2025-05-23","3,366,168"
"2025-05-24","3,554,052"
"2025-05-25","2,878,385"
"2025-05-26","2,083,993"
"2025-05-27","1,908,558"
"2025-05-28","2,492,267"
"2025-05-29","1,382,668"
"2025-05-30","1,548,075"
"2025-05-31","1,466,037"
"2025-06-01","1,218,051"
"2025-06-02","822,171"
"2025-06-03","764,763"
"2025-06-04","423,302"
"2025-06-05","315,948"
"2025-06-06","275,123"
"2025-06-07","932,972"
"2025-06-08","755,427"
"2025-06-09","559,371"
"2025-06-10","434,060"
"2025-06-11","326,864"
"2025-06-12","322,654"
"2025-06-13","375,143"
"2025-06-14","434,072"
"2025-06-15","696,385"
"2025-06-16","680,572"
"2025-06-17","659,190"
"2025-06-18","697,874"
"2025-06-19","667,276"
"2025-06-20","515,830"
"2025-06-21","791,084"
"2025-06-22","834,114"
"2025-06-23","574,510"
"2025-06-24","701,135"
"2025-06-25","591,225"
"2025-06-26","540,081"
"2025-06-27","594,389"
"2025-06-28","615,469"
"2025-06-29","587,790"
"2025-06-30","519,962"
"2025-07-01","472,327"
"2025-07-02","410,373"
"2025-07-03","399,505"
"2025-07-04","363,718"
"2025-07-05","402,223"
"2025-07-06","360,950"
"2025-07-07","337,825"
"2025-07-08","381,358"
"2025-07-09","370,529"
"2025-07-10","330,831"
"2025-07-11","385,265"
"2025-07-12","375,185"
"2025-07-13","373,026"
"2025-07-14","338,954"
"2025-07-15","211,167"
"2025-07-16","291,874"
"2025-07-17","226,607"
"2025-07-18","283,335"
"2025-07-19","267,023"
"2025-07-20","282,528"
"2025-07-21","293,876"
"2025-07-22","270,577"
"2025-07-23","271,793"
"2025-07-24","274,353"
"2025-07-25","279,325"
"2025-07-26","310,196"
"2025-07-27","287,817"
"2025-07-28","299,827"
"2025-07-29","278,233"
"2025-07-30","310,783"
"2025-07-31","283,068"
"2025-08-01","312,023"
"2025-08-02","318,551"
"2025-08-03","279,287"
"2025-08-04","268,523"
"2025-08-05","273,192"
"2025-08-06","315,474"
"2025-08-07","201,092"
"2025-08-08","239,201"
"2025-08-09","293,082"
"2025-08-10","245,333"
"2025-08-11","215,932"
"2025-08-12","235,424"
"2025-08-13","188,117"
"2025-08-14","210,414"
"2025-08-15","182,288"
"2025-08-16","235,458"
"2025-08-17","255,554"
"2025-08-18","200,068"
"2025-08-19","169,619"
"2025-08-20","40,368"
"2025-08-21","53,033"
"2025-08-22","56,289"
"2025-08-23","139,571"
"2025-08-24","131,673"
"2025-08-25","46,832"
"2025-08-26","81,819"
"2025-08-27","74,286"
"2025-08-28","30,401"
"2025-08-29","27,841"
"2025-08-30","27,196"
"2025-08-31","24,737"
"2025-09-01","22,661"
"2025-09-02","16,171"
"2025-09-03","16,028"
"2025-09-04","15,389"
"2025-09-05","18,775"
"2025-09-06","26,517"
"2025-09-07","24,209"
"2025-09-08","13,590"
"2025-09-09","13,540"
"2025-09-10","14,267"
"2025-09-11","14,343"
"2025-09-12","17,204"
"2025-09-13","25,047"
"2025-09-14","23,007"
"2025-09-15","12,894"
"2025-09-16","11,273"
"2025-09-17","11,621"
"2025-09-18","13,222"
"2025-09-19","16,755"
"2025-09-20","23,357"
"2025-09-21","20,640"
"2025-09-22","12,784"
"2025-09-23","11,984"
"2025-09-24","12,060"
"2025-09-25","10,019"
"2025-09-26","14,440"
"2025-09-27","21,875"
"2025-09-28","18,174"
"2025-09-29","10,251"
"2025-09-30","11,274"
"2025-10-01","11,306"
"2025-10-02","11,736"
"2025-10-03","14,851"
"2025-10-04","20,201"
"2025-10-05","18,614"
"2025-10-06","10,242"
"2025-10-07","9,690"
"2025-10-08","10,110"
"2025-10-09","12,835"
"2025-10-10","17,495"
"2025-10-11","22,855"
"2025-10-12","19,902"
"2025-10-13","13,868"
"2025-10-14","10,509"
"2025-10-15","10,100"
"2025-10-16","10,692"
"2025-10-17","13,793"
"2025-10-18","19,167"
"2025-10-19","18,174"
"2025-10-20","9,916"
"2025-10-21","9,387"
"2025-10-22","8,636"
"2025-10-23","10,517"
"2025-10-24","13,646"
"2025-10-25","16,870"
"2025-10-26","16,221"
"2025-10-27","9,837"
"2025-10-28","8,907"
"2025-10-29","9,160"
"2025-10-30","10,022"
"2025-10-31","11,554"
