Date,Plays
"2025-05-16","50,034"
"2025-05-17","205,439"
"2025-05-18","166,930"
"2025-05-19","89,910"
"2025-05-20","107,996"
"2025-05-21","255,184"
"2025-05-22","221,852"
"2025-05-23","198,922"
"2025-05-24","212,572"
"2025-05-25","170,605"
"2025-05-26","112,400"
"2025-05-27","100,752"
"2025-05-28","108,401"
"2025-05-29","48,777"
"2025-05-30","44,328"
"2025-05-31","25,085"
"2025-06-01","19,164"
"2025-06-02","11,424"
"2025-06-03","9,002"
"2025-06-04","5,223"
"2025-06-05","4,015"
"2025-06-06","3,827"
"2025-06-07","4,715"
"2025-06-08","4,983"
"2025-06-09","3,966"
"2025-06-10","4,172"
"2025-06-11","3,596"
"2025-06-12","3,325"
"2025-06-13","3,131"
"2025-06-14","3,587"
"2025-06-15","9,720"
"2025-06-16","9,866"
"2025-06-17","9,620"
"2025-06-18","7,397"
"2025-06-19","6,747"
"2025-06-20","4,879"
"2025-06-21","10,962"
"2025-06-22","11,180"
"2025-06-23","6,406"
"2025-06-24","7,589"
"2025-06-25","7,431"
"2025-06-26","6,434"
"2025-06-27","6,857"
"2025-06-28","9,119"
"2025-06-29","10,209"
"2025-06-30","8,387"
"2025-07-01","8,944"
"2025-07-02","6,847"
"2025-07-03","7,196"
"2025-07-04","6,268"
"2025-07-05","7,590"
"2025-07-06","6,550"
"2025-07-07","6,130"
"2025-07-08","6,737"
"2025-07-09","6,712"
"2025-07-10","6,259"
"2025-07-11","7,273"
"2025-07-12","6,960"
"2025-07-13","6,783"
"2025-07-14","6,070"
"2025-07-15","3,405"
"2025-07-16","5,304"
"2025-07-17","3,820"
"2025-07-18","4,741"
"2025-07-19","4,957"
"2025-07-20","5,355"
"2025-07-21","5,683"
"2025-07-22","5,599"
"2025-07-23","5,362"
"2025-07-24","4,869"
"2025-07-25","5,746"
"2025-07-26","6,067"
"2025-07-27","5,373"
"2025-07-28","5,854"
"2025-07-29","5,377"
"2025-07-30","5,553"
"2025-07-31","5,239"
"2025-08-01","6,116"
"2025-08-02","5,728"
"2025-08-03","5,372"
"2025-08-04","5,179"
"2025-08-05","4,929"
"2025-08-06","5,935"
"2025-08-07","3,262"
"2025-08-08","4,414"
"2025-08-09","5,507"
"2025-08-10","4,747"
"2025-08-11","4,089"
"2025-08-12","4,568"
"2025-08-13","3,397"
"2025-08-14","3,216"
"2025-08-15","3,068"
"2025-08-16","4,176"
"2025-08-17","4,615"
"2025-08-18","3,667"
"2025-08-19","3,079"
"2025-08-20","856"
"2025-08-21","872"
"2025-08-22","906"
"2025-08-23","1,860"
"2025-08-24","1,614"
"2025-08-25","775"
"2025-08-26","1,097"
"2025-08-27","1,022"
"2025-08-28","600"
"2025-08-29","455"
"2025-08-30","476"
"2025-08-31","465"
"2025-09-01","469"
"2025-09-02","318"
"2025-09-03","292"
"2025-09-04","319"
"2025-09-05","417"
"2025-09-06","511"
"2025-09-07","437"
"2025-09-08","304"
"2025-09-09","264"
"2025-09-10","228"
"2025-09-11","205"
"2025-09-12","215"
"2025-09-13","288"
"2025-09-14","220"
"2025-09-15","212"
"2025-09-16","208"
"2025-09-17","196"
"2025-09-18","238"
"2025-09-19","196"
"2025-09-20","296"
"2025-09-21","233"
"2025-09-22","187"
"2025-09-23","169"
"2025-09-24","204"
"2025-09-25","114"
"2025-09-26","155"
"2025-09-27","201"
"2025-09-28","152"
"2025-09-29","103"
"2025-09-30","135"
"2025-10-01","161"
"2025-10-02","112"
"2025-10-03","127"
"2025-10-04","137"
"2025-10-05","133"
"2025-10-06","84"
"2025-10-07","70"
"2025-10-08","101"
"2025-10-09","80"
"2025-10-10","123"
"2025-10-11","144"
"2025-10-12","106"
"2025-10-13","92"
"2025-10-14","75"
"2025-10-15","71"
"2025-10-16","61"
"2025-10-17","56"
"2025-10-18","101"
"2025-10-19","98"
"2025-10-20","46"
"2025-10-21","57"
"2025-10-22","46"
"2025-10-23","39"
"2025-10-24","50"
"2025-10-25","95"
"2025-10-26","74"
"2025-10-27","44"
"2025-10-28","59"
"2025-10-29","49"
"2025-10-30","58"
"2025-10-31","56"
