Date,United States,United Kingdom,Mexico,Canada,France,Germany,Brazil,Spain,Argentina,Japan,Saudi Arabia,Australia,Other Countries,Italy,Chile,Colombia,Puerto Rico,Poland,Ireland,Netherlands,New Zealand,Portugal,Belgium,Peru,Sweden,Ecuador,South Africa,Turkey,Venezuela,United Arab Emirates,Austria,Uruguay,Kuwait,Costa Rica,Panama,Russia,Switzerland,Dominican Republic,Israel,Bolivia,Czechia,Denmark,Guatemala,Paraguay,Norway,Hungary,Greece,Iraq,Ukraine,Romania,Honduras,Egypt,El Salvador,Qatar,Finland,Morocco,Algeria,Jordan,Croatia,Oman,Bulgaria,Belarus,Serbia,Pakistan,Bahrain,Nicaragua,Slovenia,Martinique,Réunion,Slovakia,Philippines,India,Lithuania,Malaysia,Thailand,Iran,Estonia,Indonesia,South Korea,Singapore,Cyprus,Lebanon,Kazakhstan,Kenya,Guadeloupe,Latvia,North Macedonia,Malta,Luxembourg,Libya,China,Ivory Coast,Hong Kong,Palestine,Bosnia and Herzegovina,Georgia,Trinidad and Tobago,Jamaica,New Caledonia,Iceland,Kosovo,French Guiana,Albania,Angola,Moldova,Mauritius,Azerbaijan,Guam,Namibia,Bahamas,Tunisia,DR Congo,Nigeria,Maldives,Mozambique,Greenland,Gibraltar,Curaçao,Uganda,Bangladesh,Brunei,Barbados,Republic of the Congo,Montenegro,Fiji,Vietnam,Guyana,Senegal,Jersey,Mongolia,Aruba,Tanzania,Taiwan,French Polynesia,Cayman Islands,Armenia,Uzbekistan,Ghana,Zambia,Mayotte,Gabon,United States Virgin Islands,Suriname,Ethiopia,Seychelles,Sri Lanka,Syria,Caribbean Netherlands,Zimbabwe,Isle of Man,Andorra,Mauritania,Northern Mariana Islands,Botswana,Belize,Faroe Islands,Kyrgyzstan,Saint Lucia
"2025-05-16","23,909","3,154","2,511","1,981","1,417","1,327","1,247","1,051","998","713","701","609","548","498","431","359","250","205","200","199","195","176","172","131","122","119","103","100","95","73","73","71","71","68","64","58","56","56","54","53","52","48","46","43","41","39","35","32","27","22","22","21","20","20","18","17","15","13","13","12","12","9","8","8","8","7","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-17","72,665","15,454","6,449","5,349","9,807","9,115","4,151","4,701","2,706","7,998","3,958","4,139","697","3,252","1,163","825","621","1,723","933","1,225","993","598","1,438","336","1,018","283","883","752","250","554","626","175","410","203","137","562","481","148","457","144","713","555","149","111","265","656","490","193","232","525","73","195","66","131","276","88","51","139","139","164","243","81","102","48","100","16","65","44","133","240","166","114","97","85","80","80","70","64","63","62","56","48","48","46","46","45","37","37","37","36","31","31","30","30","29","29","29","25","24","23","20","17","17","15","15","14","14","13","13","12","12","12","12","11","10","9","9","8","8","7","7","7","7","7","6","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-18","61,113","12,149","5,851","4,276","6,519","6,893","3,966","3,624","2,215","4,843","2,669","2,885","718","2,393","1,160","699","530","1,266","715","978","698","487","1,091","384","732","315","686","512","210","421","476","165","372","198","115","386","331","110","236","127","575","423","131","86","362","518","320","214","196","284","78","88","77","53","221","72","20","111","95","72","135","48","74","55","60","13","54","35","73","195","110","119","60","66","47","54","57","28","53","46","50","45","52","28","17","50","24","29","29","37","23","38","7","6","17","18","35","8","17","23","19","8","6","8","14","8","0","16","9","11","14","0","14","7","0","0","0","0","0","0","7","9","0","0","0","6","0","0","8","7","7","7","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-19","32,354","5,941","3,640","3,868","2,678","3,358","2,178","1,626","1,046","2,162","2,743","1,343","654","1,414","528","394","413","813","388","532","334","223","455","285","362","153","203","417","156","198","200","73","324","147","72","338","144","91","253","90","380","221","92","37","179","231","159","175","136","148","46","140","41","67","195","31","32","110","41","86","96","39","42","36","67","0","18","0","55","112","121","133","40","41","34","67","27","18","21","30","23","15","22","0","0","6","0","19","10","31","8","34","6","0","7","8","20","0","0","12","6","0","8","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","9","0","0","8","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-20","44,331","5,206","5,233","3,208","3,348","2,979","3,218","1,638","1,771","2,066","3,458","1,353","689","1,493","933","601","511","642","393","500","342","261","444","366","338","258","236","273","262","207","188","130","390","201","90","370","179","95","272","127","261","183","138","93","231","196","160","223","163","170","65","147","83","64","199","38","57","122","55","100","121","51","65","28","86","7","17","16","50","94","103","106","31","29","43","70","27","20","23","20","17","20","21","6","27","10","0","7","0","26","18","48","14","7","12","6","23","17","0","21","7","0","10","0","6","7","0","0","0","10","25","0","0","0","0","0","0","0","6","0","0","0","0","6","0","9","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-21","75,912","12,571","11,812","5,468","17,945","9,533","6,159","4,619","3,416","8,241","10,258","4,240","770","4,508","3,213","1,297","1,045","2,396","749","2,021","1,116","665","2,109","866","1,312","595","760","800","593","661","591","281","659","412","196","1,143","764","265","891","280","920","651","336","192","657","810","562","587","536","529","174","426","204","242","623","140","180","355","175","353","473","170","197","167","182","72","83","74","325","321","319","608","99","113","148","260","96","109","64","64","75","71","125","34","80","94","53","41","26","84","93","103","66","64","70","68","76","71","48","62","34","29","34","21","28","20","36","31","20","26","54","6","19","15","0","14","6","0","36","15","8","0","7","42","0","14","0","17","8","6","8","8","17","18","0","32","24","17","8","7","7","7","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-22","70,288","11,741","11,319","4,702","7,692","8,960","5,453","4,329","3,503","6,648","9,741","3,490","748","4,047","1,698","1,157","904","2,535","703","1,735","921","603","1,160","899","1,132","552","681","711","657","694","643","248","748","375","219","951","562","225","866","266","977","640","318","252","578","689","537","541","457","540","160","472","179","369","560","117","317","523","161","529","287","171","165","121","214","66","93","81","136","281","260","510","100","114","119","202","100","82","67","36","69","74","100","20","26","71","45","42","37","82","77","93","53","71","49","52","43","46","15","41","10","8","50","18","29","10","8","35","19","34","62","0","20","20","7","14","0","6","47","8","24","23","12","22","0","19","7","7","6","12","7","7","13","17","6","34","22","13","0","0","6","11","0","0","0","8","7","6","0","0","0","0","0","0","0","0","0","0"
"2025-05-23","60,389","11,010","9,260","3,886","8,622","10,115","4,503","5,403","2,814","6,327","6,179","4,280","760","3,404","1,407","1,149","689","2,217","914","1,537","1,246","543","1,297","688","1,078","771","1,075","711","491","953","637","167","508","315","189","677","534","198","855","195","718","669","273","103","581","765","502","351","369","522","132","312","156","310","490","131","304","311","190","378","277","136","163","122","175","42","75","32","161","308","235","411","101","122","89","150","94","78","60","72","64","79","116","48","22","64","33","53","63","53","81","81","35","49","68","54","47","40","35","44","13","11","41","34","17","22","21","23","28","16","55","24","35","26","6","10","6","0","9","9","12","0","0","18","9","7","0","19","0","0","6","8","13","0","0","23","17","6","6","0","13","8","0","7","0","8","0","0","15","10","9","6","6","0","0","0","0","0"
"2025-05-24","61,606","13,402","9,774","5,180","10,976","9,907","5,860","5,992","3,170","8,607","4,034","3,769","817","3,958","1,498","1,452","563","2,044","1,067","1,794","1,017","783","1,745","661","982","529","1,149","835","338","734","640","264","324","346","219","526","532","205","528","260","689","569","314","141","507","752","610","309","306","511","128","166","182","127","419","159","214","218","151","203","216","150","144","120","121","60","75","50","212","276","201","272","135","155","89","96","100","62","73","84","62","103","81","78","64","69","34","46","59","56","54","60","40","40","61","44","64","32","33","41","47","33","41","45","33","21","16","6","22","30","70","21","29","0","8","9","0","12","19","0","0","0","15","8","6","6","0","15","0","0","0","15","28","13","0","16","7","16","10","0","19","6","0","16","10","0","0","0","0","12","0","0","0","6","0","0","0","0"
"2025-05-25","51,962","9,837","8,625","4,018","8,112","8,228","4,868","4,946","2,751","5,862","2,761","2,461","781","2,666","1,414","1,186","450","1,472","756","1,312","649","547","1,288","614","729","442","772","568","360","471","465","196","254","241","155","430","460","169","259","253","615","482","243","160","460","476","471","268","287","441","136","125","119","85","323","98","221","121","104","168","272","70","104","59","92","49","70","14","107","173","153","244","58","79","67","108","46","54","52","33","60","49","64","38","42","47","23","46","35","39","69","43","28","16","42","44","49","24","8","21","15","18","17","28","7","8","6","11","26","29","27","7","14","0","0","7","0","0","0","6","7","9","22","0","0","13","0","8","0","0","0","8","12","15","0","0","0","6","11","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","11","9","6","6"
"2025-05-26","48,687","8,385","4,731","1,820","2,534","3,247","2,272","1,618","1,430","2,219","2,622","1,135","786","1,430","689","516","389","728","314","515","358","213","391","352","351","158","206","266","169","192","184","87","219","157","84","370","138","89","215","108","295","203","124","38","220","177","159","224","162","198","70","131","57","43","162","30","212","108","65","142","139","62","50","42","59","13","39","8","48","81","126","170","33","40","22","87","24","29","25","0","26","14","56","18","37","29","0","16","28","29","20","24","11","0","8","13","0","0","0","14","0","0","7","0","7","6","0","18","0","0","25","0","7","0","0","6","0","0","0","0","0","0","9","6","0","0","0","0","6","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","6","0","0"
"2025-05-27","40,390","8,027","4,576","1,719","3,432","3,300","2,252","1,690","1,690","1,633","2,835","1,176","748","1,440","619","486","411","727","289","705","320","187","489","359","379","199","199","286","141","214","184","143","231","162","89","358","164","106","228","130","236","182","115","46","247","147","153","326","156","178","66","257","58","51","165","46","203","111","60","139","67","59","42","51","80","20","28","0","61","79","104","207","32","25","29","77","15","21","19","10","25","19","65","17","40","12","6","11","26","55","30","35","12","10","19","7","10","10","0","10","0","0","7","0","6","6","8","0","16","8","23","0","15","0","0","0","0","0","0","0","0","0","0","6","0","10","0","0","0","0","0","0","7","12","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-28","39,325","6,743","4,822","1,682","7,582","5,057","2,369","1,598","1,347","2,044","3,176","1,227","688","1,346","639","651","418","800","248","787","373","204","976","367","458","188","228","293","195","251","309","105","273","153","96","344","383","101","246","118","398","268","114","55","227","242","203","358","182","217","64","345","57","78","231","56","230","147","51","138","93","62","50","70","82","24","15","15","158","92","165","217","31","78","43","113","25","61","20","28","30","16","67","7","30","25","6","12","49","38","36","55","21","24","8","36","6","18","7","13","0","19","0","6","0","0","20","11","6","6","42","0","8","0","0","0","0","6","0","0","8","0","0","0","0","9","0","10","0","0","0","0","0","7","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-29","19,580","3,015","1,959","925","3,027","2,322","942","729","515","650","973","383","627","526","241","272","158","295","115","429","154","77","437","122","238","66","54","110","36","98","158","46","102","60","29","136","142","30","120","28","97","129","34","27","116","72","83","94","52","70","25","101","10","39","92","14","70","81","36","61","15","25","31","7","23","7","0","9","46","25","44","68","14","25","7","9","7","13","0","0","0","0","20","0","16","6","0","6","9","12","8","17","0","0","6","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-30","15,546","2,955","2,119","758","2,747","1,949","820","983","420","1,098","947","751","704","636","232","182","119","398","161","348","172","87","285","100","277","59","154","132","49","131","151","19","128","54","28","148","93","13","117","32","143","157","36","16","112","99","79","96","55","89","6","76","0","49","75","16","64","77","30","55","49","21","21","12","33","0","8","0","32","59","43","45","12","35","10","10","6","0","9","6","7","0","9","7","0","16","0","7","6","6","8","14","0","6","10","8","10","0","6","0","0","7","6","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-31","9,035","1,350","1,060","639","973","863","660","570","367","1,020","463","456","576","349","170","143","48","196","85","169","105","89","127","68","63","34","123","73","32","82","36","7","75","29","21","62","28","12","45","28","75","70","22","10","27","63","35","44","33","32","0","33","0","18","29","6","15","40","13","29","9","0","7","0","16","0","0","0","19","19","32","23","6","0","0","7","0","0","0","7","7","0","6","10","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-06-01","6,741","1,126","785","491","679","736","564","488","321","664","381","307","552","264","169","90","55","127","72","102","72","39","107","71","67","16","47","63","18","44","30","14","54","30","9","76","18","9","46","18","57","48","14","17","36","37","34","20","9","20","0","22","0","7","44","6","6","22","0","20","0","0","0","0","0","0","0","0","6","7","7","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-06-02","4,785","543","475","243","257","327","254","178","149","299","304","175","512","230","79","71","42","94","58","55","63","0","41","28","31","8","15","27","9","29","0","8","33","0","0","35","12","0","23","7","39","0","0","0","13","27","0","27","19","14","0","16","0","0","34","0","7","9","9","14","0","6","0","0","7","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-06-03","3,695","439","353","203","258","297","207","149","115","254","322","131","454","145","62","22","30","55","21","54","31","0","13","24","26","13","8","25","12","30","12","0","32","0","0","18","6","0","14","0","24","9","0","0","8","17","0","24","7","0","0","18","0","0","13","0","9","7","0","10","0","7","0","0","0","0","0","0","0","11","6","12","0","0","0","6","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-06-04","2,114","211","244","117","212","173","127","96","61","125","95","74","409","66","37","25","12","32","0","28","23","0","29","8","0","0","6","0","0","0","0","0","0","0","0","18","0","0","0","7","12","0","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-06-05","1,528","221","156","79","101","148","103","79","62","95","59","60","400","57","25","17","11","19","0","8","0","0","6","9","7","0","0","0","0","9","0","0","0","0","0","8","0","0","0","6","10","0","0","0","6","0","0","0","6","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-06-06","1,314","209","180","66","132","217","81","108","58","107","43","66","356","46","16","16","7","30","0","9","0","0","18","15","9","0","6","6","0","0","0","0","0","0","0","11","0","0","11","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-06-07","1,576","333","254","83","206","216","157","90","71","191","49","122","385","55","44","8","6","49","0","25","14","17","37","11","24","0","6","6","7","0","0","0","0","0","0","6","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
