Date,Next-gen Console,Console,Handheld Console,PC,Other Platforms,Mobile
"2025-05-16","24,482","7,879","7,168","4,155","1,070","90"
"2025-05-17","93,948","29,178","34,086","15,265","2,346","737"
"2025-05-18","73,704","26,410","25,010","11,871","2,002","645"
"2025-05-19","40,722","13,598","11,973","8,308","1,413","391"
"2025-05-20","48,455","18,398","13,670","9,774","1,780","671"
"2025-05-21","105,925","46,274","33,014","22,824","3,654","4,158"
"2025-05-22","92,613","41,687","26,315","19,927","3,199","4,686"
"2025-05-23","83,249","36,947","26,494","16,874","2,837","3,823"
"2025-05-24","84,609","40,263","33,259","14,491","2,557","4,081"
"2025-05-25","66,068","32,048","25,206","13,173","2,263","3,503"
"2025-05-26","45,878","21,020","14,557","8,859","1,734","2,702"
"2025-05-27","41,467","19,933","12,461","9,212","1,704","2,463"
"2025-05-28","42,585","21,003","15,460","10,385","1,823","2,726"
"2025-05-29","20,148","8,478","7,132","3,873","1,109","984"
"2025-05-30","17,446","8,009","7,552","3,167","1,096","723"
"2025-05-31","9,575","4,373","4,171","1,918","747","323"
"2025-06-01","7,040","3,497","2,976","1,603","677","226"
"2025-06-02","4,333","2,067","1,528","1,042","621","158"
"2025-06-03","3,509","1,571","1,188","812","535","111"
"2025-06-04","1,867","813","633","525","455","92"
"2025-06-05","1,355","610","419","434","427","57"
"2025-06-06","1,243","578","453","433","377","65"
"2025-06-07","1,712","715","636","496","422","98"
"2025-06-08","1,860","694","556","450","389","54"
"2025-06-09","1,441","624","471","355","372","68"
"2025-06-10","1,512","703","462","375","415","108"
"2025-06-11","1,287","533","485","290","386","114"
"2025-06-12","1,192","502","416","287","388","98"
"2025-06-13","1,131","530","409","234","384","91"
"2025-06-14","1,295","561","472","296","384","92"
"2025-06-15","3,874","1,593","1,806","685","558","164"
"2025-06-16","4,037","1,635","1,801","698","558","156"
"2025-06-17","3,930","1,627","1,674","752","555","165"
"2025-06-18","3,348","1,154","1,253","509","445","105"
"2025-06-19","2,702","1,173","1,102","432","546","136"
