Date,1,2,3,4,5+
"2025-06-01","8635","5335","1413","401","235"
"2025-06-02","5606","3104","727","239","115"
"2025-06-03","4467","2474","536","160","63"
"2025-06-04","2561","1302","373","93","54"
"2025-06-05","2022","935","213","94","29"
"2025-06-06","1830","938","263","90","28"
"2025-06-07","2402","1257","355","148","35"
"2025-06-08","2609","1067","271","80","18"
"2025-06-09","2154","832","245","73","30"
"2025-06-10","2242","1020","215","75","67"
"2025-06-11","1974","839","206","78","13"
"2025-06-12","1860","759","177","68","29"
"2025-06-13","1807","712","208","54","17"
"2025-06-14","2018","829","183","64","26"
"2025-06-15","5332","2578","551","155","88"
"2025-06-16","5453","2621","628","139","45"
"2025-06-17","5222","2631","582","177","70"
"2025-06-18","4086","2113","459","137","27"
"2025-06-19","3644","1860","465","99","57"
"2025-06-20","2532","1372","312","61","29"
"2025-06-21","5890","3213","725","205","64"
"2025-06-22","5832","3277","697","204","80"
"2025-06-23","3354","1713","520","102","24"
"2025-06-24","3997","2083","522","143","66"
"2025-06-25","3895","2132","520","145","65"
"2025-06-26","3544","1888","416","72","31"
"2025-06-27","3770","1977","416","70","30"
"2025-06-28","5067","2451","554","134","71"
"2025-06-29","5463","2946","666","153","84"
"2025-06-30","4528","2326","523","129","70"
"2025-07-01","4975","2539","530","129","87"
"2025-07-02","3853","1897","368","99","31"
"2025-07-03","3904","2101","378","129","53"
"2025-07-04","3515","1740","339","86","42"
"2025-07-05","4320","2037","396","92","83"
"2025-07-06","3591","1876","369","78","42"
"2025-07-07","3298","1672","388","68","55"
"2025-07-08","3627","1884","392","122","84"
"2025-07-09","3649","1889","370","69","63"
"2025-07-10","3418","1702","325","85","61"
"2025-07-11","4145","1938","354","89","61"
"2025-07-12","3948","1796","362","74","49"
"2025-07-13","3773","1847","373","95","37"
"2025-07-14","3335","1627","343","113","36"
"2025-07-15","1886","945","183","34","18"
"2025-07-16","2888","1408","317","81","32"
"2025-07-17","2098","1020","197","48","9"
"2025-07-18","2707","1320","244","42","23"
"2025-07-19","2899","1342","213","50","15"
"2025-07-20","2946","1498","257","57","49"
"2025-07-21","3066","1573","347","90","51"
"2025-07-22","3001","1643","373","100","16"
"2025-07-23","2706","1569","384","96","41"
"2025-07-24","2428","1489","324","70","52"
"2025-07-25","2861","1802","368","68","24"
"2025-07-26","3136","1828","404","94","47"
"2025-07-27","2656","1667","296","82","50"
"2025-07-28","2986","1823","357","76","67"
"2025-07-29","2799","1582","358","103","43"
"2025-07-30","2856","1686","327","106","23"
"2025-07-31","2691","1583","328","84","26"
"2025-08-01","3325","1687","406","57","32"
"2025-08-02","3029","1554","387","106","14"
"2025-08-03","2805","1582","331","97","56"
"2025-08-04","2690","1528","287","78","38"
"2025-08-05","2621","1344","277","101","38"
"2025-08-06","3163","1642","330","79","49"
"2025-08-07","1893","786","177","37","37"
"2025-08-08","2489","1100","218","43","19"
"2025-08-09","3107","1398","318","54","33"
"2025-08-10","2668","1190","267","81","25"
"2025-08-11","2285","1087","182","49","48"
"2025-08-12","2571","1253","210","57","22"
"2025-08-13","1931","891","187","39","14"
"2025-08-14","1868","797","157","56","44"
"2025-08-15","1692","750","170","26","30"
"2025-08-16","2273","1085","238","33","42"
"2025-08-17","2535","1251","224","98","24"
"2025-08-18","1946","1018","249","80","33"
"2025-08-19","1640","867","124","47","60"
"2025-08-20","505","147","30","14","0"
"2025-08-21","516","170","28","2","0"
"2025-08-22","548","169","26","12","8"
"2025-08-23","1110","436","83","37","11"
"2025-08-24","945","358","88","22","5"
"2025-08-25","439","150","31","8","0"
"2025-08-26","634","238","61","22","10"
"2025-08-27","591","188","59","9","3"
"2025-08-28","346","98","9","8","4"
"2025-08-29","294","48","15","0","0"
"2025-08-30","288","61","14","3","1"
"2025-08-31","287","50","14","8","0"
"2025-09-01","261","66","7","12","0"
"2025-09-02","221","29","4","4","0"
"2025-09-03","194","28","3","0","0"
"2025-09-04","197","48","5","0","0"
"2025-09-05","223","48","9","4","5"
"2025-09-06","282","50","23","5","1"
"2025-09-07","255","50","8","2","1"
"2025-09-08","199","29","7","8","2"
"2025-09-09","176","32","3","0","0"
"2025-09-10","154","33","12","0","0"
"2025-09-11","150","21","2","0","8"
"2025-09-12","147","20","8","0","0"
"2025-09-13","174","44","8","0","6"
"2025-09-14","156","29","9","0","0"
"2025-09-15","124","40","4","4","5"
"2025-09-16","132","32","12","0","0"
"2025-09-17","138","26","3","4","0"
"2025-09-18","149","28","6","0","6"
"2025-09-19","133","32","1","0","0"
"2025-09-20","186","25","16","0","0"
"2025-09-21","146","36","6","4","0"
"2025-09-22","117","20","0","0","0"
"2025-09-23","106","26","8","0","0"
"2025-09-24","128","29","1","0","0"
"2025-09-25","93","12","0","0","0"
"2025-09-26","95","19","5","4","0"
"2025-09-27","149","17","6","4","0"
"2025-09-28","106","20","3","0","0"
"2025-09-29","78","11","0","0","0"
"2025-09-30","96","20","3","0","0"
"2025-10-01","96","32","2","3","6"
"2025-10-02","80","14","0","0","0"
"2025-10-03","78","20","3","4","0"
"2025-10-04","97","30","3","0","0"
"2025-10-05","75","24","13","0","0"
"2025-10-06","59","14","3","0","0"
"2025-10-07","57","6","3","0","0"
"2025-10-08","60","18","4","4","0"
"2025-10-09","59","8","0","0","0"
"2025-10-10","83","15","8","0","0"
"2025-10-11","85","38","9","0","0"
"2025-10-12","60","21","10","1","0"
"2025-10-13","55","19","6","4","0"
"2025-10-14","50","11","6","0","0"
"2025-10-15","45","10","3","0","0"
"2025-10-16","38","7","0","0","0"
"2025-10-17","39","7","0","0","0"
"2025-10-18","63","19","9","0","0"
"2025-10-19","45","31","4","0","0"
"2025-10-20","34","8","3","0","0"
"2025-10-21","38","8","0","0","0"
"2025-10-22","27","10","3","0","0"
"2025-10-23","24","10","3","0","0"
"2025-10-24","29","10","3","0","6"
"2025-10-25","57","16","3","0","0"
"2025-10-26","41","17","6","0","6"
"2025-10-27","33","6","3","1","0"
"2025-10-28","36","16","0","0","0"
"2025-10-29","36","7","4","0","0"
"2025-10-30","30","14","1","4","0"
"2025-10-31","43","10","1","0","0"
