Date,Active players,Retained Fortnite players,Recurring Fortnite players,Retained island players
"2025-05-16","44844","42953","30989","550"
"2025-05-17","175560","163045","107088","2312"
"2025-05-18","139642","126293","81222","1848"
"2025-05-19","76405","70780","48581","964"
"2025-05-20","92748","87152","61213","888"
"2025-05-21","215849","202256","137303","1910"
"2025-05-22","188427","174447","112573","1376"
"2025-05-23","170224","155936","94108","1591"
"2025-05-24","179260","161723","90160","1926"
"2025-05-25","142261","124817","67790","1709"
"2025-05-26","94750","83252","46529","1028"
"2025-05-27","87240","76591","42364","901"
"2025-05-28","93982","80978","44807","828"
"2025-05-29","41724","36959","20681","518"
"2025-05-30","37993","33604","18603","481"
"2025-05-31","21107","18915","10585","512"
"2025-06-01","16019","14233","8376","467"
"2025-06-02","9749","8857","5716","331"
"2025-06-03","7726","7124","4785","300"
"2025-06-04","4385","4076","2806","221"
"2025-06-05","3302","3097","2147","193"
"2025-06-06","3149","2898","1934","149"
"2025-06-07","4079","3729","2374","198"
"2025-06-08","4003","3633","2352","237"
"2025-06-09","3331","3066","1963","222"
"2025-06-10","3575","3257","2150","247"
"2025-06-11","3095","2812","1891","175"
"2025-06-12","2883","2626","1744","187"
"2025-06-13","2779","2522","1675","144"
"2025-06-14","3100","2805","1771","200"
"2025-06-15","8680","7456","4447","250"
"2025-06-16","8885","7812","4897","211"
"2025-06-17","8703","7620","4863","241"
"2025-06-18","6814","6069","3863","176"
"2025-06-19","6091","5471","3585","168"
"2025-06-20","4383","3969","2563","160"
"2025-06-21","10027","8936","5393","206"
"2025-06-22","10022","8817","5466","229"
"2025-06-23","5732","5209","3421","180"
"2025-06-24","6776","6068","3839","183"
"2025-06-25","6741","6088","3786","173"
"2025-06-26","5939","5362","3343","153"
"2025-06-27","6221","5502","3320","169"
"2025-06-28","8232","7215","4141","200"
"2025-06-29","9259","7992","4510","193"
"2025-06-30","7608","6716","4002","191"
"2025-07-01","8187","7139","4170","161"
"2025-07-02","6214","5491","3242","163"
"2025-07-03","6573","5679","3291","186"
"2025-07-04","5691","4986","2937","174"
"2025-07-05","6884","6031","3429","171"
"2025-07-06","5925","5056","2872","207"
"2025-07-07","5484","4892","3079","184"
"2025-07-08","6087","5332","3249","120"
"2025-07-09","6053","5380","3154","150"
"2025-07-10","5612","4943","2889","168"
"2025-07-11","6554","5734","3364","168"
"2025-07-12","6239","5484","3098","202"
"2025-07-13","6122","5151","3001","188"
"2025-07-14","5427","4722","2928","183"
"2025-07-15","3065","2707","1683","122"
"2025-07-16","4719","4143","2586","173"
"2025-07-17","3436","3045","1891","137"
"2025-07-18","4326","3801","2330","155"
"2025-07-19","4447","3858","2263","144"
"2025-07-20","4799","4106","2405","162"
"2025-07-21","5165","4506","2800","128"
"2025-07-22","5085","4479","2732","130"
"2025-07-23","4765","4205","2685","127"
"2025-07-24","4342","3816","2361","128"
"2025-07-25","5154","4556","2690","124"
"2025-07-26","5508","4767","2756","167"
"2025-07-27","4770","4142","2432","150"
"2025-07-28","5301","4614","2835","131"
"2025-07-29","4859","4356","2715","114"
"2025-07-30","4963","4488","2826","129"
"2025-07-31","4694","4246","2617","117"
