Date,United States,United Kingdom,Mexico,Canada,Germany,France,Brazil,Spain,Argentina,Japan,Saudi Arabia,Australia,Other Countries,Italy,Colombia,Chile,Puerto Rico,Netherlands,Ireland,Poland,New Zealand,Portugal,Peru,Belgium,Sweden,South Africa,Turkey,Venezuela,Ecuador,Uruguay,Bolivia,Kuwait,United Arab Emirates,Costa Rica,Russia,Panama,Austria,Switzerland,Czechia,Dominican Republic,Denmark,Paraguay,Guatemala,Israel,Norway,Finland,Greece,Egypt,Hungary,Iraq,Ukraine,Honduras,Morocco,Qatar,El Salvador,Jordan,Romania,Oman,Belarus,Bulgaria,Pakistan,Algeria,Croatia,Slovenia,Bahrain,Serbia,Martinique,Réunion,Nicaragua,Slovakia,Philippines,South Korea,Malaysia,Lithuania,Iran,India,Indonesia,Thailand,Singapore,Lebanon,Estonia,Guadeloupe,Kenya,Palestine,Kazakhstan,Luxembourg,China,Hong Kong,Cyprus,Malta,Libya,Trinidad and Tobago,Namibia,Latvia,Kosovo,Bosnia and Herzegovina,DR Congo,North Macedonia,New Caledonia,Jamaica,Iceland,Mozambique,Albania,Ivory Coast,Mauritius,French Guiana,Guam,Maldives,Georgia,Angola,Vietnam,Azerbaijan,Republic of the Congo,Tunisia,Brunei,Bangladesh,Bahamas,Moldova,Barbados,Guyana,Fiji,Nigeria,Curaçao,Greenland,Gibraltar,Uganda,Senegal,Montenegro,Jersey,Mongolia,Taiwan,French Polynesia,Aruba,Tanzania,Armenia,Cayman Islands,Uzbekistan,United States Virgin Islands,Ghana,Zambia,Mayotte,Seychelles,Gabon,Ethiopia,Suriname,Syria,Sri Lanka,Caribbean Netherlands,Northern Mariana Islands,Zimbabwe,Andorra,Isle of Man,Mauritania,Botswana,Belize,Faroe Islands,Kyrgyzstan,Saint Lucia
"2025-05-16","314,316","42,836","33,381","24,582","20,551","18,446","14,364","13,598","13,146","9,865","9,252","8,331","7,540","6,771","5,990","5,878","3,647","3,115","2,860","2,847","2,829","2,790","2,066","1,914","1,709","1,421","1,393","1,373","1,237","1,194","935","908","908","889","876","771","767","744","672","602","597","538","535","533","484","448","430","368","355","315","315","285","252","231","206","185","168","151","132","130","124","121","106","101","79","50","48","38","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-17","1,185,949","241,739","99,823","83,505","156,802","147,783","64,530","73,137","47,339","157,633","60,537","73,720","11,122","48,930","12,950","19,478","10,237","17,601","13,197","26,131","15,950","7,767","5,753","21,684","13,465","17,305","11,008","4,049","4,208","3,032","2,543","5,724","8,105","2,707","11,138","2,118","9,646","7,285","11,834","2,686","8,588","2,072","2,720","6,111","3,955","3,875","7,475","2,638","10,389","2,646","3,888","1,132","845","1,645","1,022","2,199","7,520","2,084","1,221","3,495","447","486","1,688","831","1,503","1,604","518","1,907","168","2,734","2,404","1,569","1,522","1,408","1,405","1,269","1,269","1,140","1,136","968","953","767","631","594","576","563","562","561","550","543","530","522","511","461","455","406","397","392","389","356","326","289","271","257","244","241","233","221","204","203","179","156","140","128","116","115","113","108","106","100","100","92","90","72","70","56","52","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-18","1,015,950","196,411","95,928","68,171","120,852","100,039","67,066","58,611","40,470","93,222","39,921","53,987","11,705","36,386","11,141","19,336","9,183","14,886","10,250","17,628","12,213","7,277","6,375","18,525","11,940","11,588","7,652","3,851","4,812","2,751","1,969","6,072","6,029","2,586","8,231","1,802","8,469","4,646","9,236","1,548","6,555","1,727","1,712","2,587","5,439","3,410","4,348","1,726","8,789","3,675","4,053","890","881","645","1,117","1,820","3,564","749","1,028","1,667","919","263","1,127","782","794","1,004","453","1,298","124","3,567","1,767","1,429","1,197","794","1,187","1,403","512","647","539","770","1,072","366","391","40","722","223","300","166","662","521","621","966","113","523","368","210","0","260","382","58","160","0","132","421","51","140","483","117","155","123","154","0","0","202","68","0","246","123","163","0","0","132","0","0","0","0","0","0","246","124","112","106","102","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-19","523,881","91,361","60,858","59,547","57,896","41,855","37,552","25,348","18,099","40,805","40,504","25,106","9,410","19,984","6,368","9,819","7,232","8,352","5,036","12,656","6,285","3,320","6,061","7,008","5,481","3,429","6,357","2,619","2,572","1,694","2,057","5,668","2,627","1,695","6,974","1,313","3,180","2,207","6,076","1,514","3,283","928","1,107","3,125","2,493","2,926","2,257","2,510","4,284","2,984","2,350","545","305","834","571","1,687","1,833","1,180","710","1,043","379","566","497","194","735","720","0","756","0","1,528","1,821","381","725","425","1,101","1,675","277","579","385","164","324","0","0","0","327","81","189","59","332","308","512","265","0","119","52","40","0","0","0","0","168","0","125","457","0","0","0","0","75","0","50","0","0","0","0","0","0","0","0","0","0","0","0","207","0","0","0","0","68","0","0","0","0","0","64","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-20","657,226","77,145","79,193","45,850","51,149","49,788","46,014","24,595","26,852","36,208","52,674","24,358","9,573","20,503","8,861","13,635","8,173","6,611","4,807","9,236","6,791","4,105","5,860","6,996","5,505","4,710","3,299","3,571","4,296","1,451","2,506","6,260","2,381","2,833","6,516","1,115","2,881","2,349","3,680","1,256","2,181","1,276","1,582","2,726","3,137","2,649","2,006","2,371","3,343","3,240","2,423","1,135","424","1,210","1,040","1,390","1,986","1,470","802","1,589","410","777","586","155","1,312","960","151","765","86","1,159","1,601","680","439","493","1,434","1,451","203","1,397","302","322","573","332","144","186","259","0","511","166","209","85","222","233","0","129","89","110","0","0","0","213","187","0","103","565","64","0","0","0","54","0","224","0","0","411","0","0","151","96","0","0","0","0","0","0","0","51","0","23","0","0","0","0","0","0","0","0","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-21","1,165,784","177,677","180,708","82,931","154,802","255,288","92,330","70,451","55,840","148,255","169,675","76,076","12,254","64,188","18,717","52,083","17,918","27,210","9,384","35,260","19,988","10,283","16,457","31,148","21,225","12,807","12,946","8,416","9,004","4,478","5,018","9,793","8,236","5,939","20,037","2,417","9,361","9,554","13,113","3,820","9,043","3,340","4,460","11,337","9,008","9,911","8,346","7,027","10,957","9,452","8,347","2,434","1,862","4,121","2,582","5,442","7,221","4,587","2,969","5,762","2,842","2,324","2,146","861","3,397","2,723","1,376","5,230","881","4,509","5,641","1,301","1,876","1,316","5,133","7,811","1,822","3,053","1,026","956","1,637","870","238","912","1,849","419","1,267","1,079","1,038","555","1,272","1,100","450","1,167","379","1,037","69","790","544","1,179","818","0","395","1,607","307","312","596","176","973","229","443","329","37","678","128","257","265","298","0","0","0","301","0","135","134","422","149","523","46","42","246","224","77","161","332","0","362","194","137","124","73","69","68","41","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-22","1,146,977","180,389","178,470","76,755","160,684","114,161","89,383","71,404","59,840","134,031","162,974","65,097","11,191","59,100","19,043","29,670","14,193","25,255","9,483","41,051","19,465","9,939","17,516","19,536","18,920","12,091","11,083","9,943","9,495","3,829","4,697","12,078","9,592","6,310","20,133","3,068","11,065","8,375","14,017","3,246","10,955","4,172","5,948","10,556","9,019","8,700","8,999","7,202","10,911","8,802","8,835","1,875","1,603","4,805","2,691","8,079","7,400","7,980","3,331","3,890","1,805","4,171","2,072","1,340","3,830","2,546","1,074","2,099","741","4,295","5,329","1,024","1,983","1,628","4,617","7,515","1,419","1,963","431","1,108","1,928","387","334","817","1,603","420","1,091","629","949","569","1,490","602","325","993","76","702","0","574","336","743","526","66","592","1,698","119","108","628","503","627","353","512","66","83","970","404","353","429","422","375","42","0","270","48","385","0","574","90","433","79","51","124","407","61","253","351","46","256","264","191","0","0","0","43","0","0","237","59","44","0","0","0","0","0","0","0","0","0","0"
"2025-05-23","1,075,167","169,871","159,448","64,404","183,463","130,082","77,838","86,725","49,147","143,186","104,812","79,140","12,032","54,847","18,543","24,437","11,364","22,821","13,398","36,116","25,001","8,410","14,330","21,593","18,514","20,359","10,547","7,419","11,382","2,798","3,901","8,542","12,550","4,963","16,755","3,072","11,191","7,768","10,371","3,080","10,564","1,763","4,313","11,016","9,041","8,974","8,945","5,003","12,283","5,789","6,671","2,177","1,494","5,059","3,090","4,831","7,327","5,856","3,266","4,551","1,784","4,594","2,977","950","3,236","2,317","474","2,373","678","4,452","4,509","970","2,091","1,589","3,332","5,601","1,518","2,054","1,077","1,526","1,742","326","553","380","2,125","981","1,636","636","772","721","1,401","1,273","542","866","131","1,475","249","380","730","573","772","64","1,050","842","242","249","383","390","845","380","155","322","0","1,057","182","173","198","145","0","0","48","488","0","141","157","52","209","263","0","0","381","0","135","266","289","0","288","54","78","104","0","0","128","82","0","0","62","0","190","136","116","92","34","0","0","0","0","0"
"2025-05-24","1,137,478","224,586","174,644","95,018","183,672","179,134","102,049","103,713","55,791","218,268","70,149","74,416","13,804","63,839","24,583","25,798","10,282","29,710","15,972","36,554","21,784","12,684","14,801","29,634","17,712","21,428","13,583","6,445","9,059","4,018","4,094","5,853","11,141","5,258","13,629","3,939","12,024","7,991","9,646","3,529","10,566","2,692","5,927","7,892","8,116","7,878","9,466","2,971","12,081","4,714","7,005","2,413","2,061","2,419","2,920","3,633","7,831","3,343","2,662","3,701","1,530","3,516","2,004","1,286","2,241","1,940","1,083","4,101","1,587","5,083","4,194","1,423","2,570","2,453","1,858","4,104","1,327","2,103","1,321","2,109","1,484","779","530","412","1,960","994","1,338","627","934","1,055","1,224","843","505","1,106","905","1,311","235","420","394","505","428","102","515","795","331","435","85","0","753","713","217","370","321","1,028","0","0","340","496","0","0","143","384","453","265","0","193","119","38","0","0","492","294","0","364","205","0","49","105","185","171","0","163","217","238","0","0","0","0","0","0","0","238","0","77","0","0","0","0"
"2025-05-25","991,472","166,306","164,504","77,234","164,277","136,230","89,859","90,048","53,140","165,371","47,956","51,817","14,096","46,079","22,115","25,648","8,770","24,391","11,509","26,593","12,457","9,696","12,863","22,681","12,169","15,117","9,157","6,850","7,604","2,829","5,008","4,174","8,102","4,049","12,513","2,619","8,022","6,368","9,434","3,438","8,229","2,897","3,722","3,494","8,203","6,552","8,572","1,920","7,402","4,650","5,377","2,516","1,327","1,196","2,465","2,529","7,194","2,620","1,053","4,600","1,186","3,484","1,543","1,109","1,506","1,629","286","2,033","1,066","2,465","3,131","1,521","1,437","1,113","2,557","4,500","806","1,636","929","817","626","1,019","446","223","2,515","411","1,259","470","847","1,096","1,032","706","388","867","274","1,066","51","274","67","291","295","0","446","665","105","224","157","0","791","261","439","41","173","306","143","78","580","38","168","0","0","134","0","69","0","0","181","0","0","0","188","499","0","92","0","0","0","0","57","186","0","0","0","0","0","0","0","0","0","59","0","0","0","0","162","96","55","46"
