Date,Next-gen Console,Console,Handheld Console,PC,Other Platforms,Mobile
"2025-05-16","303,481","115,184","94,767","66,049","13,827","1,349"
"2025-05-17","1,414,092","513,186","547,750","312,899","36,770","11,996"
"2025-05-18","1,148,265","469,834","397,958","248,768","31,180","11,230"
"2025-05-19","603,275","243,255","183,217","176,534","20,392","6,838"
"2025-05-20","671,075","300,932","194,629","188,008","24,249","10,082"
"2025-05-21","1,515,861","751,865","485,839","460,541","53,496","47,288"
"2025-05-22","1,384,968","721,288","440,325","438,214","47,659","55,548"
"2025-05-23","1,310,584","667,113","449,202","418,740","43,820","48,777"
"2025-05-24","1,405,278","760,260","610,088","384,210","40,817","54,066"
"2025-05-25","1,142,566","620,623","480,969","361,084","39,567","49,690"
"2025-05-26","818,264","414,972","267,913","255,471","29,470","36,671"
"2025-05-27","748,844","402,074","218,358","249,575","30,852","33,945"
"2025-05-28","754,610","431,834","273,354","282,425","29,623","36,784"
"2025-05-29","341,422","168,504","126,766","104,855","18,892","13,037"
"2025-05-30","320,754","173,371","139,363","100,058","19,704","11,010"
"2025-05-31","209,648","113,344","91,696","63,558","17,087","5,872"
"2025-06-01","164,980","96,346","64,944","64,464","18,811","3,914"
"2025-06-02","107,907","58,624","32,738","38,739","17,488","3,231"
"2025-06-03","88,864","43,635","25,480","30,702","13,859","2,070"
"2025-06-04","56,243","28,023","16,443","23,287","14,645","1,554"
"2025-06-05","41,030","21,267","11,335","17,033","13,770","905"
"2025-06-06","38,589","19,347","10,702","19,202","10,435","1,187"
"2025-06-07","41,409","19,928","15,134","16,298","11,217","1,517"
"2025-06-08","50,665","21,432","12,008","17,695","10,380","1,040"
"2025-06-09","39,203","19,150","8,993","12,737","10,926","1,107"
"2025-06-10","35,035","17,410","10,188","11,515","10,002","1,343"
"2025-06-11","27,663","14,773","10,043","9,475","9,075","1,723"
"2025-06-12","26,605","13,396","8,953","9,226","8,771","1,229"
"2025-06-13","27,181","13,800","7,751","7,204","8,930","1,039"
"2025-06-14","31,304","16,220","9,616","11,245","11,034","1,126"
"2025-06-15","74,072","37,985","33,112","20,671","10,872","2,631"
"2025-06-16","80,007","39,479","33,174","19,398","11,427","2,384"
"2025-06-17","78,224","38,925","31,663","22,332","11,719","3,578"
"2025-06-18","62,672","26,967","21,938","12,282","9,480","1,888"
"2025-06-19","52,645","30,201","21,773","13,182","11,880","2,012"
"2025-06-20","38,039","21,525","15,023","10,718","9,738","1,970"
"2025-06-21","81,443","44,187","42,377","22,560","13,724","2,052"
"2025-06-22","87,670","45,366","42,970","21,732","13,390","2,472"
"2025-06-23","49,313","27,870","20,780","15,158","11,410","2,129"
"2025-06-24","59,616","28,032","27,038","15,637","10,800","1,915"
"2025-06-25","59,686","32,801","24,208","14,057","10,279","2,038"
"2025-06-26","51,045","23,263","23,700","12,330","10,190","933"
"2025-06-27","54,331","26,668","24,606","13,454","11,670","1,617"
"2025-06-28","65,295","36,168","33,335","17,435","11,219","1,524"
"2025-06-29","74,929","44,589","36,474","19,253","10,070","1,726"
"2025-06-30","64,111","35,624","27,738","15,740","11,307","2,097"
"2025-07-01","69,460","39,763","29,467","15,156","11,088","2,236"
"2025-07-02","54,430","29,697","24,478","10,893","11,443","1,418"
"2025-07-03","54,752","33,058","23,025","12,610","10,098","1,779"
"2025-07-04","47,627","27,836","20,316","10,541","11,625","2,174"
