Date,1,2,3,4,5+
"2025-06-01","3,756.65","2,181.883","591.75","168.1","95.367"
"2025-06-02","2,620.133","1,227.3","306.783","109.317","44.317"
"2025-06-03","2,003.783","1,007.417","267.783","55.383","27.833"
"2025-06-04","1,451.65","630.1","178.7","38.75","26.967"
"2025-06-05","1,140.583","432.2","91.65","49.317","6.633"
"2025-06-06","972.033","472.95","135.283","53.35","13.583"
"2025-06-07","973.167","565.6","139.25","54.983","15.667"
"2025-06-08","1,248.117","418.817","125.45","29.083","20.017"
"2025-06-09","1,052.933","321.1","99.433","38.667","11.383"
"2025-06-10","923.033","370.817","70.483","25.833","31.1"
"2025-06-11","761.917","311.017","84.6","30.917","3.35"
"2025-06-12","717.733","301.9","57.517","28.617","6.45"
"2025-06-13","736.833","278.317","70.333","12.483","2.367"
"2025-06-14","857.9","340.383","62.917","43.7","10.817"
"2025-06-15","1,787.5","852.833","176.3","62.267","26.617"
"2025-06-16","1,896.133","843.417","235.583","55.233","22.8"
"2025-06-17","1,873.15","883.433","197.2","77.9","21.917"
"2025-06-18","1,335.65","723.35","140.3","40.017","9.067"
"2025-06-19","1,336.617","635.333","160.017","24.167","27.933"
"2025-06-20","970.817","464.667","99.767","17.133","4.067"
"2025-06-21","2,047.1","1,030.9","200.383","85.133","25.75"
"2025-06-22","2,056.067","1,119.733","231.9","62.2","43.95"
"2025-06-23","1,267.117","595.15","195.933","43.017","7.117"
"2025-06-24","1,400.083","689.483","183.75","49.817","33.317"
"2025-06-25","1,382.083","718.883","167.55","44.467","30.5"
"2025-06-26","1,238.767","607.7","110.333","24.867","19.667"
"2025-06-27","1,339.283","654.767","142.417","16.683","27"
"2025-06-28","1,660.717","762.683","217.883","33.133","29.583"
"2025-06-29","1,814.7","938.15","235.65","48.9","23.017"
"2025-06-30","1,519.967","773.517","174.717","44.667","27.383"
"2025-07-01","1,685.983","820.017","182.483","39.45","33.217"
"2025-07-02","1,365.8","660.05","126.683","37.15","21.9"
"2025-07-03","1,337.867","681.85","115.433","39.2","15.05"
"2025-07-04","1,264.017","569.067","129.583","25.917","17.783"
"2025-07-05","1,436.767","622.7","125.95","25.483","28.45"
"2025-07-06","1,299.033","659.017","117.5","24.85","10.167"
"2025-07-07","1,193.467","589.833","132.333","23.617","22.85"
"2025-07-08","1,307.35","675.833","134","37.933","27.033"
"2025-07-09","1,336.117","615.917","119.217","23.983","29.5"
"2025-07-10","1,284.25","632.55","102.75","27.567","14.4"
