Date,Active Playtime,Playtime Surrounding V-bucks Spent (PSVS)
"2025-05-16","9,910.95","4,941.05"
"2025-05-17","47,278.217","22,030.867"
"2025-05-18","38,453.917","17,471.767"
"2025-05-19","20,558.517","9,610.75"
"2025-05-20","23,149.583","10,613.15"
"2025-05-21","55,248.167","23,276.65"
"2025-05-22","51,466.7","21,176.967"
"2025-05-23","48,970.6","19,855.133"
"2025-05-24","54,245.317","21,237.633"
"2025-05-25","44,908.317","17,383.25"
"2025-05-26","30,379.35","12,513.367"
"2025-05-27","28,060.8","11,092.383"
"2025-05-28","30,143.833","11,610.9"
"2025-05-29","12,891.267","5,165.317"
"2025-05-30","12,737.667","4,987.5"
"2025-05-31","8,353.417","3,307.333"
"2025-06-01","6,890.983","2,802.25"
"2025-06-02","4,312.117","2,071.3"
"2025-06-03","3,410.167","1,705.667"
"2025-06-04","2,336.583","1,202.933"
"2025-06-05","1,755.667","927.917"
"2025-06-06","1,657.7","887.567"
"2025-06-07","1,758.383","914.167"
"2025-06-08","1,887","1,140.7"
"2025-06-09","1,535.267","894.883"
"2025-06-10","1,424.883","798.233"
"2025-06-11","1,212.533","708.95"
"2025-06-12","1,136.333","651.333"
"2025-06-13","1,098.417","636.95"
"2025-06-14","1,342.417","755.617"
"2025-06-15","2,989.05","1,411"
"2025-06-16","3,097.817","1,326.667"
"2025-06-17","3,107.35","1,326.867"
"2025-06-18","2,253.783","958.833"
"2025-06-19","2,194.883","852.9"
"2025-06-20","1,616.883","681.3"
"2025-06-21","3,439.05","1,354.267"
"2025-06-22","3,560","1,399.333"
"2025-06-23","2,111","906.483"
"2025-06-24","2,383.967","959.783"
"2025-06-25","2,384.483","1,000.6"
"2025-06-26","2,024.35","838.083"
"2025-06-27","2,205.767","865.017"
"2025-06-28","2,749.6","1,034.617"
"2025-06-29","3,117.35","1,170.783"
"2025-06-30","2,610.283","978.583"
"2025-07-01","2,786.167","1,009.467"
"2025-07-02","2,205.983","835.933"
"2025-07-03","2,255.367","858.483"
"2025-07-04","2,001.983","702.783"
"2025-07-05","2,293.033","736.583"
"2025-07-06","2,143.733","706.067"
"2025-07-07","1,977.55","684.9"
"2025-07-08","2,232.033","782.683"
"2025-07-09","2,170.833","698.833"
"2025-07-10","2,076.117","685.5"
"2025-07-11","2,360.6","817.25"
"2025-07-12","2,381.95","784.467"
"2025-07-13","2,306.85","722.683"
"2025-07-14","2,047.217","670.7"
"2025-07-15","1,154.667","385.433"
"2025-07-16","1,806.517","581.633"
