Date,New Fortnite players,Returning Fortnite players (1 month),Returning Fortnite players (6 months)
"2025-05-16","66","445","52"
"2025-05-17","302","2600","268"
"2025-05-18","320","2401","265"
"2025-05-19","141","1057","132"
"2025-05-20","157","1042","118"
"2025-05-21","698","2000","340"
"2025-05-22","851","2253","374"
"2025-05-23","719","2580","388"
"2025-05-24","1015","3841","573"
"2025-05-25","843","3506","548"
"2025-05-26","602","2398","385"
"2025-05-27","510","2488","391"
"2025-05-28","713","3287","549"
"2025-05-29","206","1058","128"
"2025-05-30","225","1168","158"
"2025-05-31","82","496","67"
"2025-06-01","66","385","67"
"2025-06-02","47","190","23"
"2025-06-03","33","125","15"
"2025-06-04","15","45","10"
"2025-06-05","11","38","6"
"2025-06-06","8","39","8"
"2025-06-07","15","51","6"
"2025-06-08","15","68","8"
"2025-06-09","16","69","11"
"2025-06-10","24","85","10"
"2025-06-11","32","71","19"
"2025-06-12","23","62","16"
"2025-06-13","24","54","7"
"2025-06-14","17","56","12"
"2025-06-15","98","468","52"
"2025-06-16","95","441","54"
"2025-06-17","71","404","56"
"2025-06-18","64","294","46"
"2025-06-19","45","275","32"
"2025-06-20","50","173","23"
"2025-06-21","100","546","84"
"2025-06-22","96","487","94"
"2025-06-23","42","178","28"
"2025-06-24","43","279","45"
"2025-06-25","51","247","40"
"2025-06-26","52","236","33"
"2025-06-27","59","315","46"
"2025-06-28","77","495","84"
"2025-06-29","119","606","116"
"2025-06-30","106","440","71"
"2025-07-01","95","511","104"
"2025-07-02","64","278","65"
"2025-07-03","82","377","75"
"2025-07-04","75","276","40"
"2025-07-05","83","427","67"
"2025-07-06","74","340","54"
"2025-07-07","63","266","60"
"2025-07-08","70","307","57"
"2025-07-09","71","279","51"
"2025-07-10","77","241","41"
"2025-07-11","60","327","64"
"2025-07-12","73","320","71"
"2025-07-13","79","367","81"
"2025-07-14","42","274","58"
"2025-07-15","40","130","26"
"2025-07-16","60","232","50"
"2025-07-17","38","169","37"
"2025-07-18","55","196","47"
"2025-07-19","65","250","51"
"2025-07-20","63","289","54"
"2025-07-21","63","274","49"
"2025-07-22","45","262","55"
"2025-07-23","57","247","58"
"2025-07-24","48","205","36"
"2025-07-25","66","261","50"
"2025-07-26","80","299","58"
"2025-07-27","64","238","52"
"2025-07-28","68","279","64"
"2025-07-29","60","245","63"
"2025-07-30","44","200","39"
"2025-07-31","43","196","41"
"2025-08-01","58","291","54"
"2025-08-02","64","288","65"
"2025-08-03","62","281","67"
"2025-08-04","48","252","64"
"2025-08-05","57","239","60"
"2025-08-06","53","275","64"
"2025-08-07","35","127","29"
"2025-08-08","43","253","56"
"2025-08-09","62","322","73"
"2025-08-10","63","280","63"
"2025-08-11","45","185","46"
"2025-08-12","46","232","60"
"2025-08-13","32","158","24"
"2025-08-14","28","144","24"
"2025-08-15","22","175","45"
"2025-08-16","51","212","47"
"2025-08-17","69","231","54"
"2025-08-18","30","142","34"
"2025-08-19","27","122","32"
"2025-08-20","2","14","1"
"2025-08-21","1","19","2"
"2025-08-22","6","24","4"
"2025-08-23","9","77","12"
"2025-08-24","11","40","5"
"2025-08-25","0","12","3"
"2025-08-26","6","27","5"
"2025-08-27","5","28","4"
"2025-08-28","0","17","2"
"2025-08-29","0","10","1"
"2025-08-30","0","20","0"
"2025-08-31","0","12","1"
"2025-09-01","0","13","0"
"2025-09-02","0","4","0"
"2025-09-03","0","9","0"
"2025-09-04","1","6","0"
"2025-09-05","0","5","0"
"2025-09-06","0","21","1"
"2025-09-07","0","12","0"
"2025-09-08","1","5","0"
"2025-09-09","0","11","0"
"2025-09-10","0","5","0"
"2025-09-11","0","3","0"
"2025-09-12","0","5","0"
"2025-09-13","0","12","2"
"2025-09-14","0","11","0"
"2025-09-15","0","2","1"
"2025-09-16","0","6","0"
"2025-09-17","0","11","0"
"2025-09-18","0","1","0"
"2025-09-19","0","7","1"
"2025-09-20","0","8","0"
"2025-09-21","0","7","0"
"2025-09-22","0","7","0"
"2025-09-23","0","5","0"
"2025-09-24","0","8","0"
"2025-09-25","0","4","0"
"2025-09-26","0","7","1"
"2025-09-27","0","16","1"
"2025-09-28","0","12","0"
"2025-09-29","0","6","0"
"2025-09-30","0","3","0"
"2025-10-01","0","7","1"
"2025-10-02","0","7","0"
"2025-10-03","0","1","0"
"2025-10-04","0","19","0"
"2025-10-05","0","10","0"
"2025-10-06","0","0","0"
"2025-10-07","0","4","1"
"2025-10-08","2","4","0"
"2025-10-09","0","2","0"
"2025-10-10","0","6","0"
"2025-10-11","0","12","1"
"2025-10-12","0","11","1"
"2025-10-13","0","7","0"
"2025-10-14","0","4","0"
"2025-10-15","0","6","0"
"2025-10-16","0","6","0"
"2025-10-17","0","3","0"
"2025-10-18","0","8","0"
"2025-10-19","0","9","0"
"2025-10-20","0","3","0"
"2025-10-21","0","1","0"
"2025-10-22","0","2","0"
"2025-10-23","1","4","0"
"2025-10-24","0","2","0"
"2025-10-25","1","8","1"
"2025-10-26","0","4","1"
"2025-10-27","0","3","0"
"2025-10-28","0","4","0"
"2025-10-29","0","3","0"
"2025-10-30","0","4","0"
"2025-10-31","0","2","0"
