Date,Reach_Level_7,Zone_control_changed,Reach_Level_5,Store_upgrade_category_2,Store_upgrade_category_7,Store_upgrade_category_1,Wave_started,Reach_Level_7 (788995344D5DEF567F8CC0BED39C99ED),Store_upgrade_category_8,Store_upgrade_category_5,Reach_Level_3,Reach_Level_6,Reach_Level_2,Reach_Level_10,Reach_Level_8,Store_upgrade_category_4,Store_upgrade_category_3,Reach_Level_1,Reach_Level_5 (B314C77E4B924EBA26EF638FCBF8422B),Reach_Level_4,Reach_Level_9,Reach_Level_6 (7D1C35F14D14C6A7605A17A89521809E),Reach_Level_8 (ACA0791B4EC12226207DD28F36A5BC0C),Reach_Level_4 (066A350B47C8685A91221EB8E620BC1B),Reach_Level_2 (D26C3B1048DD06063CF9A39FC6BC75AD),Reach_Level_10 (821847524FB5E799F4E99BB1F10C0FFD),Reach_Level_9 (E1B10AC6465A9B55BF3075BDA8144C64),Test,Store_upgrade_category_6,Changed_to_team_alexandria,Changed_to_team_commonwealth,Changed_to_team_saviors,Reached_rank_5,Reached_rank_15,Reached_rank_3,Reached_rank_11,Reached_rank_1,Reached_rank_12,Reached_rank_0,Reached_rank_16,Reached_rank_10,Reached_rank_7,Reached_rank_8,Reached_rank_13,Reach_Level_3 (614D6136441188F976569280B7B7160A),Reached_rank_6,Reached_rank_9,Reached_rank_14,Reached_rank_2,Reached_rank_4,Reached_rank_17,Reached_rank_18
"2025-05-16","8,495","45,529","14,860","5","21","2,709","207,640","604","728","3","25,873","790","33,526","288","455","1,580","1","2,776","998","2,984","4,735","11,182","6,303","19,458","2,156","3,606","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-17","84,845","305,767","146,207","1,107","866","23,108","1,217,870","10,779","6,634","109","293,865","12,517","627,563","7,084","9,315","13,072","437","32,283","14,864","39,581","50,776","111,007","65,335","201,756","26,287","40,076","8,072","2","595","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-18","73,374","239,097","125,403","1,259","1,078","17,612","966,630","9,706","5,421","174","253,888","11,392","537,742","6,456","8,381","10,055","657","28,773","13,393","35,325","44,522","95,489","56,647","173,382","23,432","35,633","7,339","0","748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-19","41,739","128,212","69,469","804","670","9,653","519,862","6,368","3,385","115","138,129","7,331","282,501","4,334","5,563","5,393","379","17,459","8,534","22,224","26,294","53,661","32,786","95,416","14,467","21,268","4,917","4","421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-20","35,366","114,595","59,655","672","559","8,364","510,590","4,995","2,918","80","119,307","5,773","245,389","3,315","4,327","4,690","279","14,170","6,777","17,722","21,662","45,736","27,486","82,263","11,597","17,399","3,765","10","333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-21","99,397","263,167","167,148","1,436","1,250","25,205","1,271,182","13,429","8,284","203","328,015","15,590","623,275","8,857","11,597","13,337","702","39,182","18,452","48,559","60,518","128,519","77,135","227,859","32,061","48,335","10,120","10","898","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-22","28,684","252,644","53,079","1,311","1,044","25,545","593,983","3,180","8,380","172","132,834","3,758","419,850","2,110","2,731","14,232","519","10,234","4,540","12,190","16,442","38,338","21,744","78,828","8,282","12,808","2,390","1","635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-23","22,110","264,365","42,742","1,741","1,134","25,934","632,605","2,166","8,578","250","119,999","2,598","458,669","1,356","1,827","14,462","697","7,464","3,138","8,665","12,269","29,959","16,382","67,095","5,961","9,468","1,607","2","813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-24","24,611","286,253","47,970","1,737","1,347","25,572","707,939","2,520","8,679","280","131,082","2,984","484,771","1,557","2,150","14,619","786","8,310","3,536","9,751","13,586","33,579","18,183","74,414","6,621","10,515","1,870","0","905","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-05-25","22,441","244,887","42,823","1,937","1,307","22,435","609,516","2,698","7,987","326","118,573","3,135","433,973","1,797","2,334","12,852","803","8,089","3,705","10,055","12,841","30,226","16,848","66,838","6,647","10,075","2,080","0","953","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
