Date,Day 1,Day 7
"2025-05-16","8.76%","1.20%"
"2025-05-17","6.39%","1.31%"
"2025-05-18","4.38%","1.32%"
"2025-05-19","5.82%","1.26%"
"2025-05-20","6.61%","0.95%"
"2025-05-21","5.12%","0.88%"
"2025-05-22","5.66%","0.73%"
"2025-05-23","6.30%","0.93%"
"2025-05-24","6.22%","1.07%"
"2025-05-25","5.51%","1.19%"
"2025-05-26","5.95%","1.08%"
"2025-05-27","6.73%","1.03%"
"2025-05-28","4.99%","0.88%"
"2025-05-29","7.74%","1.25%"
"2025-05-30","7.36%","1.26%"
"2025-05-31","9.52%","2.42%"
"2025-06-01","8.55%","2.92%"
"2025-06-02","11.23%","3.41%"
"2025-06-03","11.76%","3.90%"
"2025-06-04","15.18%","5.15%"
"2025-06-05","16.43%","5.87%"
"2025-06-06","15.03%","4.72%"
"2025-06-07","11.93%","4.75%"
"2025-06-08","13.12%","5.84%"
"2025-06-09","15.13%","6.69%"
"2025-06-10","12.46%","6.87%"
"2025-06-11","13.43%","5.62%"
"2025-06-12","12.57%","6.42%"
"2025-06-13","12.77%","5.18%"
"2025-06-14","12.76%","6.40%"
"2025-06-15","6.87%","2.85%"
"2025-06-16","7.79%","2.37%"
"2025-06-17","6.66%","2.78%"
"2025-06-18","7.73%","2.59%"
"2025-06-19","7.17%","2.77%"
"2025-06-20","9.88%","3.62%"
"2025-06-21","7.90%","2.04%"
"2025-06-22","6.82%","2.27%"
"2025-06-23","9.18%","3.15%"
"2025-06-24","8.28%","2.70%"
"2025-06-25","7.48%","2.56%"
"2025-06-26","8.01%","2.58%"
"2025-06-27","7.73%","2.70%"
"2025-06-28","7.16%","2.40%"
"2025-06-29","6.25%","2.08%"
"2025-06-30","7.68%","2.51%"
"2025-07-01","7.60%","1.96%"
"2025-07-02","8.55%","2.62%"
"2025-07-03","7.85%","2.81%"
"2025-07-04","8.31%","3.08%"
"2025-07-05","7.76%","2.46%"
"2025-07-06","7.85%","3.49%"
"2025-07-07","8.86%","3.35%"
"2025-07-08","8.40%","1.96%"
"2025-07-09","8.77%","2.46%"
"2025-07-10","9.57%","3.01%"
"2025-07-11","8.53%","2.56%"
"2025-07-12","9.67%","3.23%"
"2025-07-13","8.82%","3.07%"
"2025-07-14","7.22%","3.37%"
"2025-07-15","11.89%","4.00%"
"2025-07-16","9.90%","3.66%"
"2025-07-17","11.11%","4.00%"
"2025-07-18","9.59%","3.60%"
"2025-07-19","9.54%","3.22%"
"2025-07-20","7.45%","3.32%"
"2025-07-21","8.45%","2.49%"
"2025-07-22","9.62%","2.57%"
"2025-07-23","9.33%","2.64%"
"2025-07-24","10.00%","2.96%"
"2025-07-25","9.17%","2.38%"
"2025-07-26","8.80%","3.05%"
"2025-07-27","8.82%","3.14%"
"2025-07-28","7.66%","2.47%"
"2025-07-29","8.61%","2.34%"
"2025-07-30","8.78%","2.59%"
"2025-07-31","8.75%","2.48%"
"2025-08-01","7.94%","2.45%"
"2025-08-02","8.72%","3.04%"
"2025-08-03","7.85%","2.83%"
"2025-08-04","8.43%","2.43%"
"2025-08-05","9.90%","2.89%"
"2025-08-06","6.78%","2.20%"
"2025-08-07","12.29%","3.74%"
"2025-08-08","9.84%","3.59%"
"2025-08-09","8.25%","3.85%"
"2025-08-10","8.28%","3.84%"
"2025-08-11","10.28%","3.91%"
"2025-08-12","8.04%","3.51%"
"2025-08-13","9.43%","3.91%"
"2025-08-14","9.74%","3.91%"
"2025-08-15","12.16%","4.82%"
"2025-08-16","11.27%","4.45%"
"2025-08-17","7.75%","3.34%"
"2025-08-18","10.17%","3.56%"
"2025-08-19","9.16%","3.89%"
"2025-08-20","25.44%","14.12%"
"2025-08-21","23.78%","13.91%"
"2025-08-22","22.37%","13.52%"
"2025-08-23","12.40%","6.26%"
"2025-08-24","13.79%","6.82%"
"2025-08-25","22.78%","12.50%"
"2025-08-26","17.27%","7.91%"
"2025-08-27","18.14%","8.13%"
"2025-08-28","27.06%","14.29%"
"2025-08-29","32.03%","22.56%"
"2025-08-30","31.15%","21.58%"
"2025-08-31","26.76%","18.87%"
"2025-09-01","25.14%","17.63%"
"2025-09-02","30.16%","18.65%"
"2025-09-03","36.49%","18.02%"
"2025-09-04","35.57%","17.39%"
"2025-09-05","32.76%","17.59%"
"2025-09-06","31.39%","19.17%"
"2025-09-07","24.20%","15.29%"
"2025-09-08","27.73%","13.87%"
"2025-09-09","22.79%","12.09%"
"2025-09-10","23.12%","16.58%"
"2025-09-11","27.07%","16.57%"
"2025-09-12","32.95%","24.43%"
"2025-09-13","22.65%","20.51%"
"2025-09-14","20.00%","17.37%"
"2025-09-15","20.35%","16.86%"
"2025-09-16","26.86%","16.57%"
"2025-09-17","26.47%","17.65%"
"2025-09-18","21.99%","9.42%"
"2025-09-19","25.61%","15.24%"
"2025-09-20","17.90%","10.48%"
"2025-09-21","24.46%","16.85%"
"2025-09-22","31.85%","14.81%"
"2025-09-23","27.78%","17.36%"
"2025-09-24","17.09%","17.09%"
"2025-09-25","24.76%","15.24%"
"2025-09-26","25.40%","13.49%"
"2025-09-27","21.51%","6.98%"
"2025-09-28","17.05%","7.75%"
"2025-09-29","23.08%","9.89%"
"2025-09-30","25.64%","5.98%"
"2025-10-01","12.86%","6.43%"
"2025-10-02","22.34%","10.64%"
"2025-10-03","20.00%","11.43%"
"2025-10-04","13.85%","7.69%"
"2025-10-05","9.17%","9.17%"
"2025-10-06","12.16%","5.41%"
"2025-10-07","13.43%","7.46%"
"2025-10-08","8.24%","4.71%"
"2025-10-09","17.65%","11.76%"
"2025-10-10","15.74%","5.56%"
"2025-10-11","13.08%","5.38%"
"2025-10-12","9.78%","8.70%"
"2025-10-13","5.88%","3.53%"
"2025-10-14","14.93%","10.45%"
"2025-10-15","17.24%","12.07%"
"2025-10-16","13.33%","8.89%"
"2025-10-17","14.58%","8.33%"
"2025-10-18","10.00%","7.78%"
"2025-10-19","7.23%","3.61%"
"2025-10-20","9.52%","4.76%"
"2025-10-21","13.04%","17.39%"
"2025-10-22","16.67%","7.14%"
"2025-10-23","7.69%","0.00%"
"2025-10-24","13.04%","17.39%"
"2025-10-25","6.33%","2.53%"
"2025-10-26","7.46%","4.48%"
"2025-10-27","14.29%","4.76%"
"2025-10-28","7.55%","3.77%"
"2025-10-29","2.27%","0.00%"
"2025-10-30","8.16%","0.00%"
"2025-10-31","9.26%","11.11%"
