Submitted,Published,Event type,Island name,Release number,Release note
"2025-05-08T14:24:52-07:00","2025-05-08T14:41:20-07:00","Release Published","blank island publish test","2",""
"2025-05-15T10:07:17-07:00","2025-05-15T13:23:41-07:00","Release Published","Courtyard King:","3",""
"2025-05-15T17:12:51-07:00","2025-05-15T17:13:23-07:00","Release Published","Courtyard King:The Walking Dead Universe","4",""
"2025-05-16T07:11:29-07:00","2025-05-16T08:41:42-07:00","Release Published","Courtyard King:The Walking Dead Universe","6",""
"2025-05-16T11:19:39-07:00","2025-05-16T11:20:15-07:00","Release Published","Courtyard King:The Walking Dead Universe","7",""
"2025-05-16T12:33:23-07:00","2025-05-16T12:33:42-07:00","Release Published","Courtyard King:The Walking Dead Universe","8",""
"2025-05-16T12:51:59-07:00","2025-05-16T12:53:36-07:00","Release Published","Courtyard King:The Walking Dead Universe","9",""
"2025-05-16T17:29:35-07:00","2025-05-16T17:30:01-07:00","Release Published","Courtyard King:The Walking Dead Universe","10",""
"2025-05-20T12:08:26-07:00","2025-05-20T12:12:59-07:00","Release Published","Courtyard King:The Walking Dead Universe","11",""
"2025-05-21T09:35:29-07:00","2025-05-21T09:35:41-07:00","Release Published","Courtyard King:The Walking Dead Universe","12",""
"2025-05-21T17:26:47-07:00","2025-05-21T17:26:58-07:00","Release Published","Courtyard King:The Walking Dead Universe","13",""
"2025-05-21T19:36:27-07:00","2025-05-21T19:36:38-07:00","Release Published","Courtyard King:The Walking Dead Universe","14",""
"2025-05-22T16:59:18-07:00","2025-05-22T16:59:29-07:00","Release Published","Courtyard King:The Walking Dead Universe","15",""
"2025-05-23T16:03:05-07:00","2025-05-23T16:03:18-07:00","Release Published","Courtyard King:The Walking Dead Universe","16",""
"2025-05-26T16:32:02-07:00","2025-05-26T16:32:14-07:00","Release Published","Courtyard King:The Walking Dead Universe","17",""
"2025-05-28T16:05:12-07:00","2025-05-28T16:05:24-07:00","Release Published","Courtyard King:The Walking Dead Universe","18",""
"2025-05-28T16:33:10-07:00","2025-05-28T16:33:21-07:00","Release Published","Courtyard King:The Walking Dead Universe","19","Version 18 RC"
"2025-05-28T21:25:49-07:00","2025-05-28T21:26:02-07:00","Release Published","Courtyard King:The Walking Dead Universe","20","Version 18 RC"
"2025-05-29T08:50:04-07:00","2025-05-29T08:50:18-07:00","Release Published","Courtyard King:The Walking Dead Universe","21",""
"2025-05-29T11:24:57-07:00","2025-05-29T11:25:12-07:00","Release Published","Courtyard King:The Walking Dead Universe","22",""
"2025-05-30T15:25:51-07:00","2025-05-30T15:26:23-07:00","Release Published","Courtyard King:The Walking Dead Universe","23",""
"2025-05-31T09:44:32-07:00","2025-05-31T09:45:04-07:00","Release Published","Courtyard King:The Walking Dead Universe","24",""
"2025-06-03T18:39:58-07:00","2025-06-03T18:40:10-07:00","Release Published","Courtyard King:The Walking Dead Universe","25",""
"2025-06-04T16:38:42-07:00","2025-06-04T16:38:51-07:00","Release Published","Courtyard King:The Walking Dead Universe","26",""
"2025-06-04T16:41:09-07:00","2025-06-04T16:41:24-07:00","Release Published","Courtyard King:The Walking Dead Universe","27",""
"2025-06-05T15:44:24-07:00","2025-06-05T15:44:36-07:00","Release Published","Courtyard King:The Walking Dead Universe","28",""
"2025-06-06T11:43:17-07:00","2025-06-06T11:43:31-07:00","Release Published","Courtyard King:The Walking Dead Universe","29",""
"2025-06-09T13:58:21-07:00","2025-06-09T13:58:38-07:00","Release Published","Courtyard King:The Walking Dead Universe","30",""
"2025-06-12T04:44:23-07:00","2025-06-12T04:44:37-07:00","Release Published","Courtyard King:The Walking Dead Universe","31",""
"2025-06-13T17:53:43-07:00","2025-06-13T17:53:54-07:00","Release Published","Courtyard King:The Walking Dead Universe","32",""
"2025-06-17T16:54:09-07:00","2025-06-17T16:54:23-07:00","Release Published","Courtyard King:The Walking Dead Universe","33","RC 17/06"
"2025-06-20T18:18:41-07:00","2025-06-20T18:18:56-07:00","Release Published","Courtyard King:The Walking Dead Universe","34",""
"2025-06-24T16:52:30-07:00","2025-06-24T16:52:42-07:00","Release Published","Courtyard King:The Walking Dead Universe","35",""
"2025-07-07T06:41:26-07:00","2025-07-07T06:42:02-07:00","Release Published","Courtyard King:The Walking Dead Universe","36",""
