Date,1,2,3,4,5,6,7,8,9,10
"2025-05-16","14","6","6","0","5","3","3","4","5","16"
"2025-05-17","54","14","16","16","24","24","15","28","17","100"
"2025-05-18","69","16","16","19","19","16","25","22","13","79"
"2025-05-19","38","1","6","14","15","12","13","6","9","25"
"2025-05-20","40","13","15","10","18","17","13","21","9","35"
"2025-05-21","124","20","29","22","38","29","26","26","18","109"
"2025-05-22","88","25","30","21","38","23","29","32","19","98"
"2025-05-23","77","18","23","17","30","22","28","25","18","86"
"2025-05-24","85","16","25","21","49","38","36","37","19","112"
"2025-05-25","67","22","15","19","30","29","33","32","18","81"
"2025-05-26","44","11","16","12","18","14","15","18","11","51"
"2025-05-27","30","5","11","15","18","13","12","21","14","34"
"2025-05-28","51","7","12","18","17","17","22","21","17","50"
"2025-05-29","22","1","8","6","5","5","9","10","6","24"
"2025-05-30","17","3","6","3","5","3","6","3","2","19"
"2025-05-31","6","3","0","4","4","6","7","2","1","16"
"2025-06-01","8","1","3","2","6","7","6","2","3","7"
"2025-06-02","2","0","1","0","1","2","0","0","0","7"
"2025-06-03","4","2","1","2","1","1","2","1","0","4"
"2025-06-04","2","0","0","0","0","0","0","0","1","4"
"2025-06-05","0","0","0","0","1","1","0","0","0","2"
"2025-06-06","1","0","0","0","1","1","0","0","0","5"
"2025-06-07","2","0","0","0","3","1","1","0","0","4"
"2025-06-08","2","0","0","0","0","1","1","0","1","3"
"2025-06-09","1","1","1","0","0","1","0","0","0","2"
"2025-06-10","1","0","1","1","1","1","1","2","0","1"
"2025-06-11","3","0","0","0","1","0","0","3","0","5"
"2025-06-12","1","2","1","0","0","1","0","1","0","2"
"2025-06-13","1","0","0","0","1","1","0","0","2","2"
"2025-06-14","1","0","1","0","1","0","0","1","0","1"
"2025-06-15","3","2","0","3","2","1","1","2","2","3"
"2025-06-16","0","0","0","0","1","1","3","0","2","1"
"2025-06-17","3","3","0","0","2","1","0","5","1","2"
"2025-06-18","3","0","2","0","1","3","0","1","0","0"
"2025-06-19","2","1","0","1","2","0","0","0","2","6"
"2025-06-20","2","0","0","2","0","1","1","1","2","4"
"2025-06-21","5","0","1","0","2","1","3","3","1","12"
"2025-06-22","4","1","3","1","4","4","6","3","1","10"
"2025-06-23","2","1","0","1","0","1","2","0","0","4"
"2025-06-24","1","1","0","1","0","3","2","1","0","2"
"2025-06-25","4","0","0","2","0","2","0","1","0","2"
"2025-06-26","2","0","0","0","0","0","0","1","1","8"
"2025-06-27","2","0","0","0","0","2","4","2","0","4"
"2025-06-28","6","2","1","0","2","4","1","0","3","5"
"2025-06-29","4","2","1","2","8","0","1","1","1","4"
"2025-06-30","4","1","3","0","0","0","2","2","1","6"
"2025-07-01","0","0","0","0","1","4","1","0","1","3"
"2025-07-02","2","0","0","1","0","0","2","0","2","3"
"2025-07-03","4","2","0","2","0","1","3","1","0","7"
"2025-07-04","3","0","1","0","3","1","1","0","0","6"
"2025-07-05","1","0","1","0","2","2","2","1","1","3"
"2025-07-06","2","0","1","1","1","0","0","2","2","3"
"2025-07-07","5","1","1","1","0","0","1","2","0","3"
"2025-07-08","4","1","1","1","0","2","1","1","1","8"
"2025-07-09","1","0","0","0","2","0","1","0","1","5"
"2025-07-10","1","2","1","2","2","1","0","2","0","5"
"2025-07-11","2","0","0","1","2","1","3","1","0","4"
"2025-07-12","2","0","2","0","1","2","2","3","1","9"
"2025-07-13","3","0","2","0","1","1","1","0","1","5"
"2025-07-14","1","0","0","1","1","1","0","2","1","2"
"2025-07-15","1","1","0","0","0","2","0","0","0","2"
"2025-07-16","2","0","0","0","0","1","0","2","0","3"
"2025-07-17","0","0","0","0","0","1","0","2","0","4"
"2025-07-18","1","0","0","2","1","0","0","2","0","6"
"2025-07-19","2","1","0","0","1","2","0","0","0","3"
"2025-07-20","3","0","0","0","1","1","1","1","0","1"
"2025-07-21","3","0","0","2","1","0","2","1","1","2"
"2025-07-22","1","1","0","1","1","0","1","0","0","2"
"2025-07-23","2","2","1","0","1","1","1","0","0","3"
"2025-07-24","0","1","0","3","0","1","0","0","0","5"
"2025-07-25","1","0","0","0","0","0","0","0","1","0"
"2025-07-26","2","0","0","1","2","1","1","1","0","4"
"2025-07-27","1","0","1","0","0","0","0","3","0","5"
"2025-07-28","0","0","1","1","1","0","3","1","1","0"
"2025-07-29","3","0","2","1","0","0","0","0","1","5"
"2025-07-30","3","0","0","0","2","1","1","0","0","3"
"2025-07-31","0","0","1","1","0","1","0","1","0","3"
"2025-08-01","1","0","2","1","1","0","1","1","2","3"
"2025-08-02","2","0","1","0","1","1","1","1","0","2"
"2025-08-03","2","0","2","3","1","1","1","1","0","5"
